0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0155,0.9578,1.0278,1.0473,1.0198,1.0109,1.0383,1.0373,1.0257,1.0506,0.9843,1.0684,0.9886,0.9779,0.9914,1.0598,1.0411,0.9640,0.9539,0.9696
0.9823,0.9639,0.9917,0.9824,1.0480,0.9346,0.9857,0.9827,0.9478,0.9766,1.0196,1.0766,0.9885,1.0504,0.9696,1.0464,0.9893,1.0302,1.0009,1.0603
1.0251,1.0104,0.9277,0.9803,0.9788,1.0039,0.9566,0.9600,0.9874,0.9928,1.0303,1.0399,0.9377,1.0157,0.9778,1.0412,0.9835,0.9238,1.0023,1.0019
1.0246,1.0318,1.0096,0.9958,1.0036,1.1008,0.9702,0.9857,0.9704,0.9852,0.9821,0.9970,1.0347,1.0362,1.0518,1.0110,0.9654,1.0017,1.0138,0.9739
0.9736,1.0410,1.0154,0.9844,0.9888,0.9709,0.9932,1.0124,0.9279,1.0182,1.0220,0.9653,1.0075,0.9966,0.9882,0.9827,0.9455,0.9872,0.9691,1.0382
0.9537,1.0939,1.0209,1.0015,1.0101,1.0043,0.9553,1.0117,1.0099,1.0127,0.9492,0.9500,1.0222,0.9378,0.9540,0.9361,0.9906,0.9722,0.9979,0.9791
0.9802,0.9634,1.0162,0.9632,0.9964,1.0296,1.0161,0.9964,0.9748,0.9795,0.9515,0.9959,0.9396,0.9774,0.9100,0.9713,0.9738,0.9979,0.9490,0.9753
0.9394,0.9866,0.9627,1.0128,0.9566,0.9982,0.9912,1.0610,0.9951,0.9419,0.9793,0.9588,0.9991,0.9518,0.9154,0.9426,1.0467,1.0282,1.0310,0.9751
0.9385,1.0564,0.9932,0.9416,0.9210,0.9768,1.0228,0.9774,0.9339,0.9792,0.9949,0.9861,0.9870,0.9057,0.9660,0.9773,0.9999,0.9493,1.0141,0.9566
0.9387,1.0553,0.9260,1.0151,0.9860,1.0144,1.0434,0.9494,0.9925,0.9584,0.9383,0.9380,1.0062,0.9596,0.9670,0.9539,0.9236,0.9902,0.9517,0.9784
0.9838,0.9422,0.9653,0.9477,0.9611,1.0293,0.9965,0.9464,0.9633,0.9767,1.0120,0.9412,0.9555,0.9722,0.8705,0.9120,0.9828,0.9868,0.9676,0.9781
0.9860,0.9476,0.9813,0.9280,0.9703,0.9626,0.9711,0.9360,0.9453,0.9754,0.9564,0.9268,0.9356,0.9452,0.9540,0.9455,0.9785,0.9873,0.9979,0.9311
0.9594,1.0172,0.9713,0.9413,0.9624,0.9526,0.9715,0.9728,0.9774,0.9384,0.9868,0.8556,1.0184,0.8967,0.8675,0.9759,0.9696,0.9522,0.9656,0.9343
0.9391,0.8975,0.9104,0.9720,0.9738,1.0850,0.9346,0.8638,0.9434,0.9486,0.9764,0.9046,0.9250,0.9457,0.9094,0.8735,0.9316,0.9741,0.9708,0.9548
