epoch,train_loss,test_acc
1,0.5212,97.5300
2,0.2432,98.1900
3,0.2003,98.3700
4,0.1874,98.0900
5,0.1751,98.3400
6,0.1635,98.5600
7,0.1578,98.6200
8,0.1487,98.4100
9,0.1500,98.5200
10,0.1477,98.8200
11,0.1410,98.7900
12,0.1393,98.8300
13,0.1318,98.7400
14,0.1342,98.8100
15,0.1322,98.3600
16,0.1340,98.7200
17,0.1269,98.8400
18,0.1277,98.4900
19,0.1276,98.8000
20,0.1261,98.7600
21,0.1218,98.8400
22,0.1234,98.8700
23,0.1255,98.8200
24,0.1227,98.9300
25,0.1187,98.8300
26,0.1186,98.9300
27,0.1144,98.9000
28,0.1185,98.7100
29,0.1130,98.9300
30,0.1154,98.9400
31,0.1140,98.8300
32,0.1117,98.8700
33,0.1144,99.0100
34,0.1121,98.8500
35,0.1081,98.8700
36,0.1141,98.9500
37,0.1120,98.7800
38,0.1122,98.9400
39,0.1115,98.9400
40,0.1081,98.8900
41,0.1118,98.8500
42,0.1078,98.8800
43,0.1081,98.9000
44,0.1082,98.8300
45,0.1081,99.0000
46,0.1072,98.9400
47,0.1090,98.7900
48,0.1057,98.9900
49,0.1046,98.8900
50,0.1066,98.9100
