epsilon,down_link,up_link,test_acc,energy,time,goodput,packet_loss
0.1000,0.0000,0.0000,88.4700,0,0,0,0
0.1000,0.0000,0.0000,92.8200,0,0,0,0
0.1000,0.0000,0.0000,94.0800,0,0,0,0
0.1000,0.0000,0.0000,95.5800,0,0,0,0
0.1000,0.0000,0.0000,95.3500,0,0,0,0
0.1000,0.0000,0.0000,96.5800,0,0,0,0
0.1000,0.0000,0.0000,97.0900,0,0,0,0
0.1000,0.0000,0.0000,96.8100,0,0,0,0
0.1000,0.0000,0.0000,96.8200,0,0,0,0
0.1000,0.0000,0.0000,96.8700,0,0,0,0
0.1000,0.0000,0.0000,97.2500,0,0,0,0
0.1000,0.0000,0.0000,96.9800,0,0,0,0
0.1000,0.0000,0.0000,97.6100,0,0,0,0
0.1000,0.0000,0.0000,98.0400,0,0,0,0
0.1000,0.0000,0.0000,98.0500,0,0,0,0
0.1000,0.0000,0.0000,98.2300,0,0,0,0
0.1000,0.0000,0.0000,98.4400,0,0,0,0
0.1000,0.0000,0.0000,98.0600,0,0,0,0
0.1000,0.0000,0.0000,97.7800,0,0,0,0
0.1000,0.0000,0.0000,98.3500,0,0,0,0
0.1000,0.0000,0.0000,98.1900,0,0,0,0
0.1000,0.0000,0.0000,98.2500,0,0,0,0
0.1000,0.0000,0.0000,98.0700,0,0,0,0
0.1000,0.0000,0.0000,97.9700,0,0,0,0
0.1000,0.0000,0.0000,98.2800,0,0,0,0
0.1000,0.0000,0.0000,98.4500,0,0,0,0
0.1000,0.0000,0.0000,98.1900,0,0,0,0
0.1000,0.0000,0.0000,98.5500,0,0,0,0
0.1000,0.0000,0.0000,98.1000,0,0,0,0
0.1000,0.0000,0.0000,98.4700,0,0,0,0
0.1000,0.0000,0.0000,98.5600,0,0,0,0
0.1000,0.0000,0.0000,98.5700,0,0,0,0
0.1000,0.0000,0.0000,96.4400,0,0,0,0
0.1000,0.0000,0.0000,98.3800,0,0,0,0
0.1000,0.0000,0.0000,98.4900,0,0,0,0
0.1000,0.0000,0.0000,98.6100,0,0,0,0
0.1000,0.0000,0.0000,98.2600,0,0,0,0
0.1000,0.0000,0.0000,98.6900,0,0,0,0
0.1000,0.0000,0.0000,98.5600,0,0,0,0
0.1000,0.0000,0.0000,95.3500,0,0,0,0
0.1000,0.0000,0.0000,98.5900,0,0,0,0
0.1000,0.0000,0.0000,98.7600,0,0,0,0
0.1000,0.0000,0.0000,98.5900,0,0,0,0
0.1000,0.0000,0.0000,98.7500,0,0,0,0
0.1000,0.0000,0.0000,98.5900,0,0,0,0
0.1000,0.0000,0.0000,98.6900,0,0,0,0
0.1000,0.0000,0.0000,98.8100,0,0,0,0
0.1000,0.0000,0.0000,98.7000,0,0,0,0
0.1000,0.0000,0.0000,98.8900,0,0,0,0
0.1000,0.0000,0.0000,98.8700,0,0,0,0
