0,1,2,3,4,5,6,7,8,9
1.3394,1.3336,1.3210,1.3280,1.3397,1.3404,1.3379,1.3299,1.3259,1.3235
0.5646,0.5620,0.5294,0.5316,0.5353,0.5238,0.5381,0.5867,0.5581,0.5727
0.4310,0.4386,0.4179,0.3999,0.4487,0.4280,0.3965,0.4184,0.3953,0.4276
0.3655,0.3575,0.3492,0.3407,0.3577,0.3450,0.3341,0.3685,0.3564,0.3613
0.3023,0.3310,0.3031,0.2912,0.3113,0.2893,0.2946,0.3370,0.3127,0.3163
0.2861,0.2904,0.2834,0.2730,0.2998,0.2834,0.2837,0.2771,0.2779,0.2923
0.2606,0.2635,0.2765,0.2584,0.2683,0.2817,0.2591,0.2717,0.2616,0.2638
0.2553,0.2593,0.2602,0.2430,0.2700,0.2379,0.2261,0.2486,0.2565,0.2373
0.2253,0.2393,0.2406,0.2276,0.2594,0.2465,0.2274,0.2301,0.2386,0.2595
0.2481,0.2392,0.2298,0.2267,0.2297,0.2251,0.2062,0.2255,0.2148,0.2378
0.2146,0.2161,0.2347,0.2174,0.2296,0.2361,0.2149,0.2237,0.2275,0.2469
0.2192,0.2017,0.2114,0.2130,0.2121,0.2120,0.1892,0.2384,0.2047,0.2139
0.2330,0.2039,0.2086,0.1740,0.1951,0.2041,0.2040,0.2013,0.1891,0.2166
0.1939,0.1904,0.2012,0.1741,0.1864,0.1934,0.1945,0.2082,0.1945,0.2286
0.1844,0.1862,0.1935,0.1825,0.2051,0.1759,0.1735,0.1976,0.1804,0.1823
0.1960,0.1915,0.1811,0.1852,0.1824,0.1919,0.1689,0.1915,0.1834,0.2054
0.1897,0.1906,0.1886,0.1866,0.1836,0.1851,0.1918,0.1754,0.1868,0.1926
0.1942,0.1737,0.1815,0.1859,0.1829,0.1464,0.1711,0.1903,0.1713,0.1772
0.1741,0.1764,0.1868,0.1747,0.1740,0.1675,0.1612,0.1795,0.1634,0.1903
0.1865,0.1667,0.1741,0.1596,0.1825,0.1593,0.1679,0.1638,0.1741,0.1844
0.1832,0.1632,0.1613,0.1615,0.1678,0.1679,0.1610,0.1736,0.1649,0.1601
0.1671,0.1613,0.1603,0.1648,0.1641,0.1591,0.1646,0.1673,0.1493,0.1605
0.1705,0.1562,0.1750,0.1567,0.1647,0.1633,0.1582,0.1647,0.1504,0.1492
0.1650,0.1405,0.1476,0.1659,0.1585,0.1508,0.1496,0.1582,0.1587,0.1599
0.1674,0.1658,0.1510,0.1475,0.1602,0.1584,0.1472,0.1435,0.1397,0.1499
0.1654,0.1336,0.1455,0.1315,0.1500,0.1340,0.1422,0.1539,0.1507,0.1623
0.1697,0.1411,0.1671,0.1393,0.1452,0.1508,0.1593,0.1480,0.1458,0.1489
0.1542,0.1450,0.1481,0.1333,0.1497,0.1445,0.1365,0.1568,0.1452,0.1515
0.1460,0.1510,0.1312,0.1499,0.1488,0.1473,0.1341,0.1416,0.1465,0.1419
0.1365,0.1602,0.1542,0.1359,0.1414,0.1501,0.1421,0.1239,0.1299,0.1583
0.1541,0.1348,0.1451,0.1427,0.1395,0.1297,0.1385,0.1425,0.1393,0.1341
0.1423,0.1293,0.1583,0.1319,0.1424,0.1374,0.1417,0.1371,0.1374,0.1379
0.1674,0.1420,0.1464,0.1401,0.1532,0.1318,0.1389,0.1428,0.1342,0.1362
0.1345,0.1348,0.1382,0.1340,0.1483,0.1339,0.1426,0.1229,0.1208,0.1505
0.1594,0.1410,0.1370,0.1360,0.1343,0.1372,0.1294,0.1281,0.1075,0.1443
0.1506,0.1508,0.1340,0.1357,0.1339,0.1254,0.1222,0.1434,0.1262,0.1459
0.1452,0.1338,0.1367,0.1330,0.1387,0.1335,0.1361,0.1244,0.1285,0.1360
0.1449,0.1312,0.1475,0.1137,0.1306,0.1439,0.1218,0.1331,0.1225,0.1301
0.1331,0.1347,0.1383,0.1267,0.1391,0.1305,0.1244,0.1279,0.1325,0.1322
0.1445,0.1458,0.1402,0.1220,0.1343,0.1193,0.1187,0.1291,0.1276,0.1375
0.1455,0.1293,0.1240,0.1293,0.1405,0.1352,0.1192,0.1271,0.1231,0.1229
0.1311,0.1222,0.1249,0.1235,0.1258,0.1242,0.1104,0.1223,0.1150,0.1321
0.1404,0.1337,0.1468,0.1325,0.1400,0.1329,0.1217,0.1318,0.1160,0.1216
0.1392,0.1263,0.1306,0.1216,0.1193,0.1216,0.1226,0.1272,0.1075,0.1277
0.1370,0.1134,0.1490,0.1184,0.1237,0.1231,0.1110,0.1304,0.1081,0.1391
0.1280,0.1159,0.1267,0.1075,0.1404,0.1167,0.1069,0.1357,0.1255,0.1143
0.1305,0.1151,0.1267,0.1140,0.1211,0.1225,0.1208,0.1275,0.1074,0.1062
0.1272,0.1265,0.1251,0.1143,0.1280,0.1174,0.1002,0.1214,0.1181,0.1176
0.1328,0.1273,0.1305,0.1067,0.1296,0.1031,0.1184,0.1181,0.1141,0.1140
0.1319,0.1110,0.1227,0.1237,0.1126,0.1120,0.1097,0.1193,0.1091,0.1228
