0,1,2,3,4,5,6,7,8,9
1.3620,1.3488,1.3733,1.3582,1.3753,1.3774,1.3633,1.3792,1.3649,1.3909
0.5790,0.5439,0.5646,0.5767,0.5835,0.5677,0.5459,0.5631,0.5669,0.5818
0.4204,0.4305,0.4522,0.4073,0.4144,0.4349,0.3977,0.4163,0.4368,0.4229
0.3511,0.3414,0.3548,0.3450,0.3478,0.3529,0.3440,0.3745,0.3594,0.3542
0.3074,0.3022,0.3236,0.3147,0.3225,0.3091,0.3118,0.3020,0.3092,0.3221
0.2998,0.2654,0.2994,0.2852,0.2909,0.2930,0.2816,0.2673,0.2884,0.2971
0.2466,0.2443,0.2586,0.2305,0.2827,0.2368,0.2659,0.2439,0.2695,0.2867
0.2398,0.2467,0.2622,0.2362,0.2239,0.2287,0.2353,0.2331,0.2643,0.2452
0.2546,0.2287,0.2340,0.2220,0.2322,0.2176,0.2238,0.2259,0.2288,0.2392
0.2197,0.2106,0.2482,0.2143,0.2289,0.2154,0.2090,0.2197,0.2244,0.2227
0.2131,0.2028,0.2372,0.2336,0.2163,0.2054,0.1998,0.2084,0.2093,0.2069
0.2068,0.1995,0.2235,0.2096,0.1923,0.2028,0.2118,0.2008,0.2218,0.2012
0.2037,0.1951,0.2166,0.2004,0.2053,0.1759,0.1903,0.1887,0.2183,0.1973
0.1879,0.1857,0.2061,0.1862,0.1814,0.1562,0.1892,0.2023,0.1885,0.2181
0.1829,0.1880,0.1922,0.1728,0.1914,0.1751,0.1744,0.1658,0.1763,0.1956
0.1550,0.1705,0.1907,0.1605,0.1837,0.1628,0.1593,0.1797,0.1847,0.1893
0.1770,0.1739,0.1909,0.1606,0.1821,0.1755,0.1662,0.1806,0.1872,0.1838
0.1699,0.1671,0.1643,0.1527,0.1584,0.1428,0.1801,0.1784,0.1811,0.1710
0.1485,0.1597,0.1651,0.1638,0.1671,0.1580,0.1489,0.1447,0.1733,0.1720
0.1742,0.1679,0.1801,0.1742,0.1663,0.1522,0.1685,0.1645,0.1876,0.1837
0.1644,0.1626,0.1809,0.1501,0.1620,0.1380,0.1652,0.1573,0.1644,0.1554
0.1647,0.1661,0.1798,0.1656,0.1589,0.1516,0.1498,0.1496,0.1766,0.1589
0.1605,0.1478,0.1657,0.1620,0.1535,0.1440,0.1358,0.1475,0.1624,0.1554
0.1604,0.1499,0.1630,0.1493,0.1640,0.1559,0.1378,0.1584,0.1523,0.1569
0.1458,0.1425,0.1420,0.1598,0.1500,0.1278,0.1479,0.1442,0.1645,0.1488
0.1709,0.1405,0.1593,0.1603,0.1547,0.1350,0.1396,0.1544,0.1381,0.1476
0.1328,0.1290,0.1438,0.1462,0.1383,0.1287,0.1325,0.1456,0.1503,0.1307
0.1570,0.1388,0.1561,0.1324,0.1425,0.1329,0.1376,0.1481,0.1518,0.1421
0.1710,0.1360,0.1466,0.1481,0.1381,0.1400,0.1524,0.1402,0.1480,0.1519
0.1376,0.1404,0.1447,0.1383,0.1453,0.1223,0.1369,0.1359,0.1327,0.1491
0.1397,0.1273,0.1386,0.1461,0.1444,0.1234,0.1331,0.1556,0.1416,0.1582
0.1449,0.1485,0.1325,0.1441,0.1443,0.1216,0.1335,0.1334,0.1368,0.1285
0.1597,0.1286,0.1386,0.1407,0.1429,0.1225,0.1279,0.1343,0.1380,0.1455
0.1348,0.1484,0.1409,0.1263,0.1370,0.1217,0.1207,0.1448,0.1303,0.1450
0.1550,0.1273,0.1408,0.1288,0.1260,0.1201,0.1398,0.1218,0.1348,0.1364
0.1603,0.1266,0.1367,0.1430,0.1265,0.1266,0.1109,0.1395,0.1347,0.1296
0.1347,0.1245,0.1315,0.1197,0.1213,0.1226,0.1309,0.1225,0.1338,0.1424
0.1357,0.1272,0.1297,0.1161,0.1206,0.1083,0.1259,0.1316,0.1223,0.1336
0.1415,0.1252,0.1301,0.1302,0.1194,0.1077,0.1168,0.1316,0.1345,0.1222
0.1358,0.1270,0.1386,0.1277,0.1364,0.1071,0.1314,0.1426,0.1423,0.1399
0.1358,0.1279,0.1311,0.1242,0.1299,0.1089,0.1153,0.1233,0.1367,0.1232
0.1379,0.1517,0.1327,0.1277,0.1238,0.1026,0.1195,0.1254,0.1286,0.1268
0.1348,0.1236,0.1349,0.1265,0.1270,0.1170,0.1093,0.1247,0.1441,0.1233
0.1279,0.1228,0.1337,0.1162,0.1104,0.1048,0.1283,0.1250,0.1249,0.1167
0.1407,0.1296,0.1118,0.1113,0.1166,0.1111,0.1145,0.1226,0.1393,0.1305
0.1534,0.1196,0.1316,0.1300,0.1194,0.0918,0.1219,0.1176,0.1340,0.1281
0.1240,0.1191,0.1102,0.1215,0.1128,0.1119,0.1168,0.1206,0.1233,0.1275
0.1233,0.1063,0.1189,0.1116,0.1109,0.1169,0.1151,0.1149,0.1192,0.1203
0.1135,0.1270,0.1256,0.1195,0.1129,0.1158,0.1155,0.1160,0.1142,0.1267
0.1142,0.1090,0.1350,0.1288,0.1268,0.0944,0.1185,0.1118,0.1311,0.1244
