epsilon,down_link,up_link,test_acc,energy,time,goodput,packet_loss
0.1000,0.0000,6.0000,87.4500,0.6935,1.6209,151.8723,0.2500
0.1000,0.0000,5.0000,93.0800,1.3699,3.2248,82.0443,0.3000
0.1000,0.0000,6.0000,94.6700,2.0576,4.8287,38.9319,0.4500
0.1000,0.0000,9.0000,95.1700,2.7264,6.4326,123.1198,0.3000
0.1000,0.0000,6.0000,95.4900,3.4080,8.0364,0.0000,0.5000
0.1000,0.0000,10.0000,96.1600,4.0827,9.6403,91.8871,0.3500
0.1000,0.0000,7.0000,96.9000,4.7778,11.2442,155.0681,0.3000
0.1000,0.0000,6.0000,96.9000,5.4631,12.8481,191.9835,0.2000
0.1000,0.0000,4.0000,97.2200,6.1404,14.4519,143.3333,0.2000
0.1000,0.0000,4.0000,97.2100,6.8197,16.0558,71.2880,0.3500
0.1000,0.0000,7.0000,97.2100,7.4892,17.6597,37.1804,0.4000
0.1000,0.0000,8.0000,97.1700,8.1830,19.2636,0.8032,0.5000
0.1000,0.0000,10.0000,97.6100,8.8672,20.8674,85.2290,0.3000
0.1000,0.0000,6.0000,97.6700,9.5404,22.4713,125.4121,0.2000
0.1000,0.0000,4.0000,97.7900,10.2096,24.0752,0.1559,0.5000
0.1000,0.0000,10.0000,97.8500,10.8996,25.6791,0.9226,0.5000
0.1000,0.0000,10.0000,97.9600,11.5646,27.2829,121.4557,0.3000
0.1000,0.0000,6.0000,97.9200,12.2506,28.8868,74.0390,0.4000
0.1000,0.0000,8.0000,97.8100,12.9135,30.4907,78.3707,0.4000
0.1000,0.0000,8.0000,98.0700,13.5782,32.0946,37.7920,0.4000
0.1000,0.0000,8.0000,98.0100,14.2472,33.6984,133.9786,0.2500
0.1000,0.0000,5.0000,97.9300,14.9205,35.3023,69.5010,0.4000
0.1000,0.0000,8.0000,98.1800,15.6110,36.9062,72.8788,0.3000
0.1000,0.0000,6.0000,98.1700,16.2911,38.5101,129.2816,0.2500
0.1000,0.0000,5.0000,98.1600,16.9866,40.1139,22.5126,0.4500
0.1000,0.0000,9.0000,98.2200,17.6726,41.7178,57.6130,0.4000
0.1000,0.0000,8.0000,98.0500,18.3537,43.3217,105.7811,0.2000
0.1000,0.0000,4.0000,97.9100,19.0388,44.9256,43.6114,0.4000
0.1000,0.0000,8.0000,98.5600,19.7343,46.5294,102.8149,0.3500
0.1000,0.0000,7.0000,98.3300,20.4277,48.1333,27.7846,0.4000
0.1000,0.0000,8.0000,98.4300,21.1228,49.7372,87.4087,0.4000
0.1000,0.0000,8.0000,98.3200,21.7964,51.3411,43.6864,0.4000
0.1000,0.0000,8.0000,98.4200,22.4900,52.9449,112.6014,0.3500
0.1000,0.0000,7.0000,98.3800,23.1479,54.5488,16.0213,0.3500
0.1000,0.0000,7.0000,98.4700,23.8418,56.1527,43.8149,0.4000
0.1000,0.0000,8.0000,98.4800,24.5039,57.7566,17.4421,0.4500
0.1000,0.0000,9.0000,98.3700,25.1936,59.3604,40.6959,0.4000
0.1000,0.0000,8.0000,98.5700,25.8877,60.9643,38.3607,0.4000
0.1000,0.0000,8.0000,98.6900,26.5622,62.5682,91.9477,0.3000
0.1000,0.0000,6.0000,98.5500,27.2473,64.1721,43.5705,0.4000
0.1000,0.0000,8.0000,98.5000,27.9392,65.7759,74.7707,0.4000
0.1000,0.0000,8.0000,98.5400,28.6197,67.3798,73.5654,0.3500
0.1000,0.0000,7.0000,98.6400,29.2826,68.9837,119.3924,0.3000
0.1000,0.0000,6.0000,98.6300,29.9841,70.5876,77.4372,0.3500
0.1000,0.0000,7.0000,98.5200,30.6530,72.1914,30.5421,0.3500
0.1000,0.0000,7.0000,98.3500,31.3342,73.7953,202.9825,0.2000
0.1000,0.0000,4.0000,98.6900,32.0033,75.3992,4.4659,0.4500
0.1000,0.0000,9.0000,98.7300,32.6601,77.0031,122.4500,0.2500
0.1000,0.0000,5.0000,98.7900,33.3334,78.6069,100.9544,0.3000
0.1000,0.0000,6.0000,98.7400,34.0052,80.2108,107.6375,0.3500
