epsilon,down_link,up_link,test_acc,energy,time,goodput,packet_loss
0.1000,0.0000,7.0000,37.8300,0.6707,1.6209,45.8277,0.3500
0.1000,0.0000,7.0000,62.7100,1.3671,3.2248,81.1529,0.4000
0.1000,0.0000,8.0000,74.9000,2.0401,4.8287,78.1426,0.4000
0.1000,0.0000,8.0000,81.7800,2.7501,6.4326,54.7778,0.4000
0.1000,0.0000,8.0000,85.4000,3.4207,8.0364,2.4760,0.4500
0.1000,0.0000,9.0000,87.7600,4.1369,9.6403,1.9690,0.5000
0.1000,0.0000,10.0000,89.6200,4.8314,11.2442,91.1293,0.4000
0.1000,0.0000,8.0000,90.3200,5.5273,12.8481,0.0000,0.5000
0.1000,0.0000,10.0000,91.3100,6.2179,14.4519,57.3222,0.3500
0.1000,0.0000,7.0000,91.7500,6.8958,16.0558,89.9596,0.3500
0.1000,0.0000,7.0000,91.9800,7.5665,17.6597,57.6918,0.4000
0.1000,0.0000,8.0000,92.6000,8.2415,19.2636,79.7829,0.4000
0.1000,0.0000,8.0000,93.0500,8.9509,20.8674,70.5109,0.3000
0.1000,0.0000,6.0000,92.8900,9.6349,22.4713,2.2463,0.4500
0.1000,0.0000,9.0000,93.5700,10.3124,24.0752,94.6242,0.3500
0.1000,0.0000,7.0000,93.8500,11.0135,25.6791,81.0061,0.3500
0.1000,0.0000,7.0000,94.1200,11.7173,27.2829,52.4701,0.4000
0.1000,0.0000,8.0000,94.0900,12.3914,28.8868,117.2262,0.2000
0.1000,0.0000,4.0000,94.2900,13.0642,30.4907,77.3232,0.3500
0.1000,0.0000,7.0000,94.4400,13.7757,32.0946,13.2782,0.4500
0.1000,0.0000,9.0000,94.7300,14.4458,33.6984,156.0911,0.2500
0.1000,0.0000,5.0000,94.9000,15.1205,35.3023,114.9726,0.3000
0.1000,0.0000,6.0000,94.9900,15.8183,36.9062,94.4828,0.3000
0.1000,0.0000,6.0000,94.9600,16.4831,38.5101,17.5747,0.4000
0.1000,0.0000,8.0000,94.9900,17.1895,40.1139,44.9778,0.3000
0.1000,0.0000,6.0000,94.9700,17.8837,41.7178,69.6510,0.2500
0.1000,0.0000,5.0000,95.3300,18.5651,43.3217,185.4873,0.2500
0.1000,0.0000,5.0000,95.4800,19.2442,44.9256,88.0789,0.3000
0.1000,0.0000,6.0000,95.4900,19.9534,46.5294,108.7039,0.3000
0.1000,0.0000,6.0000,95.6500,20.6256,48.1333,110.8876,0.2500
0.1000,0.0000,5.0000,95.8200,21.3105,49.7372,159.6804,0.3000
0.1000,0.0000,6.0000,95.8400,22.0117,51.3411,73.9380,0.3000
0.1000,0.0000,6.0000,95.9700,22.7050,52.9449,83.8441,0.3500
0.1000,0.0000,7.0000,96.0300,23.3575,54.5488,98.2834,0.3000
0.1000,0.0000,6.0000,95.9700,24.0550,56.1527,59.6946,0.4000
0.1000,0.0000,8.0000,96.0800,24.7629,57.7566,39.0868,0.4000
0.1000,0.0000,8.0000,96.0900,25.4517,59.3604,44.0252,0.4000
0.1000,0.0000,8.0000,96.1200,26.1457,60.9643,180.2484,0.2500
0.1000,0.0000,5.0000,96.3500,26.7959,62.5682,2.4943,0.4500
0.1000,0.0000,9.0000,96.2200,27.4746,64.1721,43.5134,0.4000
0.1000,0.0000,8.0000,96.2100,28.1511,65.7759,142.4896,0.2500
0.1000,0.0000,5.0000,96.4000,28.8362,67.3798,144.5050,0.2500
0.1000,0.0000,5.0000,96.3300,29.5135,68.9837,0.1232,0.5000
0.1000,0.0000,10.0000,96.4300,30.1820,70.5876,29.7675,0.4000
0.1000,0.0000,8.0000,96.4400,30.8646,72.1914,42.0166,0.4000
0.1000,0.0000,8.0000,96.4300,31.5486,73.7953,62.6746,0.3500
0.1000,0.0000,7.0000,96.6000,32.2355,75.3992,77.1994,0.4000
0.1000,0.0000,8.0000,96.6500,32.9251,77.0031,33.6583,0.4000
0.1000,0.0000,8.0000,96.6100,33.5946,78.6069,172.3134,0.2500
0.1000,0.0000,5.0000,96.6800,34.2692,80.2108,86.7905,0.2500
