0,1,2,3,4,5,6,7,8,9
2.2825,2.2818,2.2775,2.2778,2.2772,2.2816,2.2792,2.2818,2.2825,2.2785
2.1682,2.1676,2.1624,2.1637,2.1717,2.1622,2.1721,2.1735,2.1694,2.1725
1.8551,1.8454,1.8402,1.8281,1.8536,1.8387,1.8431,1.8526,1.8357,1.8553
1.4190,1.3899,1.3887,1.3837,1.4269,1.4018,1.3874,1.4200,1.3959,1.4271
1.1038,1.1226,1.1288,1.1063,1.1299,1.0913,1.1073,1.1426,1.1236,1.1435
0.9489,0.9587,0.9400,0.9399,0.9588,0.9438,0.9568,0.9563,0.9381,0.9643
0.8671,0.8599,0.8571,0.8454,0.8813,0.8698,0.8318,0.8507,0.8524,0.8571
0.7777,0.7860,0.7769,0.7667,0.8029,0.7726,0.7487,0.7841,0.7751,0.7753
0.7170,0.7166,0.7075,0.6759,0.7369,0.7197,0.6929,0.7198,0.7283,0.7419
0.6830,0.6888,0.6915,0.6580,0.6892,0.6632,0.6444,0.6889,0.6534,0.6934
0.6340,0.6403,0.6398,0.6195,0.6656,0.6519,0.6182,0.6541,0.6512,0.6694
0.6109,0.6051,0.5955,0.6028,0.6154,0.6027,0.5659,0.6381,0.5816,0.6123
0.6027,0.6060,0.5564,0.5278,0.5818,0.5768,0.5770,0.5834,0.5779,0.6071
0.5577,0.5684,0.5338,0.5304,0.5596,0.5429,0.5420,0.5995,0.5437,0.5811
0.5264,0.5330,0.5152,0.5316,0.5624,0.4991,0.5032,0.5495,0.5215,0.5353
0.5352,0.5439,0.5245,0.5175,0.5152,0.5209,0.4972,0.5266,0.5085,0.5548
0.5105,0.5220,0.4778,0.4966,0.5088,0.4935,0.5040,0.5106,0.5081,0.5364
0.5133,0.4791,0.4780,0.4679,0.4719,0.4532,0.4786,0.5092,0.4920,0.4831
0.4870,0.4838,0.4854,0.4624,0.4932,0.4614,0.4325,0.5013,0.4542,0.4875
0.4515,0.4592,0.4429,0.4484,0.4857,0.4434,0.4476,0.4660,0.4604,0.4937
0.4676,0.4522,0.4329,0.4426,0.4525,0.4489,0.4175,0.4640,0.4618,0.4580
0.4494,0.4388,0.4086,0.4452,0.4377,0.4277,0.4244,0.4546,0.4342,0.4589
0.4317,0.4383,0.4370,0.4124,0.4391,0.4349,0.4099,0.4190,0.4141,0.4107
0.4198,0.4046,0.4015,0.4253,0.4257,0.3946,0.3968,0.4243,0.4165,0.4216
0.4116,0.4291,0.3830,0.4121,0.4125,0.4368,0.4030,0.4168,0.3939,0.4442
0.4062,0.4006,0.3939,0.3776,0.4177,0.3719,0.3899,0.4168,0.4086,0.4195
0.4153,0.3869,0.3903,0.3956,0.4010,0.3872,0.3882,0.4057,0.3909,0.4104
0.4098,0.4057,0.3888,0.3683,0.4114,0.3855,0.3619,0.4021,0.3951,0.4043
0.3706,0.3836,0.3607,0.3897,0.3740,0.3786,0.3735,0.3941,0.3815,0.3823
0.3679,0.4058,0.3902,0.3791,0.3895,0.3663,0.3681,0.3765,0.3604,0.4031
0.3829,0.3695,0.3687,0.3832,0.3707,0.3651,0.3588,0.3734,0.3606,0.3634
0.3742,0.3716,0.3690,0.3398,0.3759,0.3410,0.3606,0.3562,0.3501,0.3667
0.3730,0.3704,0.3716,0.3551,0.3734,0.3496,0.3459,0.3651,0.3553,0.3527
0.3504,0.3557,0.3604,0.3434,0.3772,0.3492,0.3483,0.3421,0.3310,0.3802
0.3407,0.3518,0.3476,0.3611,0.3491,0.3404,0.3499,0.3362,0.3181,0.3447
0.3598,0.3628,0.3252,0.3530,0.3599,0.3474,0.3116,0.3426,0.3359,0.3496
0.3363,0.3533,0.3460,0.3273,0.3428,0.3417,0.3319,0.3237,0.3458,0.3391
0.3328,0.3500,0.3431,0.3169,0.3326,0.3551,0.3146,0.3460,0.3279,0.3389
0.3340,0.3516,0.3468,0.3259,0.3380,0.3298,0.3187,0.3345,0.3175,0.3444
0.3302,0.3487,0.3246,0.3111,0.3069,0.3144,0.3199,0.3391,0.3206,0.3484
0.3322,0.3418,0.3299,0.3202,0.3423,0.3086,0.2930,0.3239,0.3134,0.3240
0.3199,0.3311,0.3095,0.3251,0.3290,0.3242,0.2962,0.3032,0.2984,0.3248
0.3330,0.3274,0.3292,0.3171,0.3285,0.3006,0.3060,0.3248,0.2936,0.3183
0.3153,0.3269,0.3173,0.2962,0.3114,0.2948,0.3033,0.3253,0.3007,0.3203
0.3228,0.3140,0.3208,0.3012,0.3134,0.3099,0.2838,0.3316,0.2723,0.3312
0.3019,0.3014,0.2932,0.2826,0.3355,0.2859,0.2847,0.3169,0.3151,0.2983
0.2981,0.3042,0.3035,0.2900,0.2891,0.2997,0.2917,0.3181,0.2922,0.3064
0.3061,0.3057,0.2882,0.2758,0.3201,0.2940,0.2895,0.2916,0.2881,0.3019
0.2873,0.3181,0.3073,0.2766,0.3035,0.2724,0.2907,0.2921,0.2814,0.3036
0.2974,0.2898,0.2762,0.2899,0.3043,0.2738,0.2832,0.2869,0.2808,0.3105
