0,1,2,3,4,5,6,7,8,9
1.4827,1.4776,1.5057,1.4710,1.5033,1.5032,1.4955,1.5005,1.4950,1.5124
0.6519,0.6341,0.6537,0.6607,0.6684,0.6525,0.6360,0.6469,0.6407,0.6642
0.4752,0.4966,0.5140,0.4798,0.4967,0.5103,0.4754,0.4843,0.5127,0.5102
0.3980,0.4038,0.4145,0.4089,0.4186,0.4122,0.4153,0.4281,0.4182,0.4093
0.3547,0.3555,0.3791,0.3661,0.3715,0.3546,0.3536,0.3477,0.3674,0.3677
0.3492,0.3033,0.3449,0.3374,0.3447,0.3349,0.3313,0.3179,0.3379,0.3457
0.2898,0.2943,0.3165,0.2915,0.3413,0.2925,0.3005,0.2900,0.3206,0.3164
0.2801,0.2822,0.3093,0.2777,0.2717,0.2737,0.2822,0.2891,0.3230,0.2952
0.2989,0.2544,0.2792,0.2675,0.2764,0.2620,0.2588,0.2585,0.2743,0.2793
0.2492,0.2359,0.2878,0.2575,0.2664,0.2603,0.2505,0.2596,0.2598,0.2542
0.2433,0.2455,0.2775,0.2720,0.2536,0.2525,0.2302,0.2471,0.2369,0.2455
0.2410,0.2333,0.2718,0.2531,0.2314,0.2334,0.2340,0.2382,0.2630,0.2449
0.2373,0.2369,0.2728,0.2416,0.2442,0.2197,0.2289,0.2283,0.2589,0.2361
0.2154,0.2218,0.2408,0.2312,0.2147,0.2007,0.2272,0.2364,0.2273,0.2495
0.2145,0.2318,0.2250,0.2166,0.2304,0.2062,0.2141,0.1969,0.2083,0.2285
0.2004,0.2095,0.2223,0.1893,0.2147,0.2010,0.1913,0.2119,0.2141,0.2394
0.2055,0.2058,0.2331,0.2078,0.2145,0.2066,0.1952,0.2099,0.2159,0.2230
0.2005,0.2033,0.2009,0.1820,0.1844,0.1806,0.2004,0.2140,0.2069,0.2082
0.1868,0.1856,0.2004,0.1928,0.1874,0.1978,0.1665,0.1836,0.2138,0.1995
0.1993,0.1958,0.2229,0.2118,0.2003,0.1923,0.2120,0.2022,0.2196,0.2249
0.1823,0.1835,0.2154,0.1859,0.1829,0.1675,0.1850,0.2007,0.1956,0.1841
0.1847,0.1913,0.2153,0.2148,0.1872,0.1879,0.1818,0.1709,0.2229,0.2061
0.1831,0.1721,0.1992,0.1820,0.1864,0.1638,0.1635,0.1766,0.1976,0.1816
0.1721,0.1855,0.1899,0.1796,0.1987,0.1818,0.1633,0.1854,0.1956,0.1827
0.1784,0.1780,0.1817,0.1897,0.1908,0.1714,0.1909,0.1761,0.1842,0.1794
0.2056,0.1749,0.1883,0.1979,0.1919,0.1610,0.1758,0.1807,0.1761,0.1842
0.1713,0.1551,0.1696,0.1705,0.1618,0.1531,0.1494,0.1733,0.1759,0.1670
0.1871,0.1717,0.1909,0.1615,0.1772,0.1642,0.1677,0.1881,0.1839,0.1704
0.1948,0.1574,0.1922,0.1819,0.1771,0.1702,0.1892,0.1680,0.1730,0.1733
0.1575,0.1627,0.1738,0.1763,0.1832,0.1490,0.1679,0.1655,0.1588,0.1940
0.1718,0.1721,0.1729,0.1859,0.1825,0.1568,0.1721,0.1833,0.1690,0.1884
0.1710,0.1753,0.1587,0.1738,0.1775,0.1544,0.1534,0.1671,0.1614,0.1582
0.1837,0.1579,0.1725,0.1662,0.1743,0.1586,0.1597,0.1639,0.1719,0.1770
0.1590,0.1788,0.1701,0.1546,0.1698,0.1501,0.1504,0.1754,0.1700,0.1659
0.1783,0.1614,0.1711,0.1517,0.1619,0.1440,0.1623,0.1552,0.1774,0.1631
0.1722,0.1517,0.1678,0.1612,0.1530,0.1469,0.1354,0.1635,0.1656,0.1545
0.1535,0.1533,0.1732,0.1404,0.1583,0.1437,0.1608,0.1478,0.1643,0.1633
0.1464,0.1588,0.1523,0.1365,0.1432,0.1383,0.1493,0.1584,0.1599,0.1626
0.1484,0.1504,0.1616,0.1612,0.1442,0.1337,0.1411,0.1697,0.1587,0.1638
0.1644,0.1565,0.1777,0.1544,0.1523,0.1381,0.1562,0.1647,0.1777,0.1713
0.1600,0.1627,0.1710,0.1503,0.1624,0.1391,0.1480,0.1638,0.1697,0.1544
0.1640,0.1607,0.1730,0.1462,0.1577,0.1281,0.1492,0.1493,0.1529,0.1650
0.1507,0.1488,0.1623,0.1577,0.1600,0.1377,0.1381,0.1563,0.1796,0.1460
0.1439,0.1404,0.1793,0.1489,0.1427,0.1478,0.1513,0.1480,0.1598,0.1495
0.1597,0.1542,0.1436,0.1320,0.1483,0.1379,0.1285,0.1480,0.1613,0.1658
0.1727,0.1497,0.1626,0.1513,0.1505,0.1276,0.1519,0.1473,0.1583,0.1519
0.1359,0.1410,0.1399,0.1526,0.1317,0.1389,0.1490,0.1447,0.1462,0.1571
0.1474,0.1329,0.1510,0.1418,0.1459,0.1352,0.1488,0.1477,0.1555,0.1543
0.1352,0.1390,0.1594,0.1429,0.1421,0.1428,0.1391,0.1373,0.1386,0.1497
0.1389,0.1367,0.1587,0.1443,0.1481,0.1130,0.1503,0.1333,0.1513,0.1502
