epsilon,down_link,up_link,test_acc,energy,time,goodput,packet_loss
1.0000,0.0000,6.0000,23.3200,6.4351,16.2094,151.8723,0.2500
1.0000,0.0000,5.0000,48.8800,12.7271,32.2481,82.0443,0.3000
1.0000,0.0000,6.0000,68.7800,19.1473,48.2869,38.9319,0.4500
1.0000,0.0000,9.0000,77.5300,25.3447,64.3256,123.1198,0.2500
1.0000,0.0000,5.0000,84.5400,31.6905,80.3644,0.0000,0.5000
1.0000,0.0000,10.0000,86.1400,37.9918,96.4031,91.8871,0.3500
1.0000,0.0000,7.0000,88.2400,44.4642,112.4419,155.0681,0.2500
1.0000,0.0000,5.0000,88.9300,50.8489,128.4806,191.9835,0.2000
1.0000,0.0000,4.0000,89.3500,57.1557,144.5194,143.3333,0.2000
1.0000,0.0000,4.0000,90.3700,63.4674,160.5581,71.2880,0.3000
1.0000,0.0000,6.0000,90.8600,69.7356,176.5969,37.1804,0.4000
1.0000,0.0000,8.0000,91.4400,76.1689,192.6356,0.8032,0.4500
1.0000,0.0000,9.0000,92.0100,82.5571,208.6744,85.2290,0.3000
1.0000,0.0000,6.0000,92.2800,88.7747,224.7131,125.4121,0.2000
1.0000,0.0000,4.0000,92.6100,95.0068,240.7519,0.1559,0.5000
1.0000,0.0000,10.0000,92.6300,101.4002,256.7906,0.9226,0.4500
1.0000,0.0000,9.0000,93.0100,107.5905,272.8294,121.4557,0.3000
1.0000,0.0000,6.0000,93.4600,114.0050,288.8681,74.0390,0.4000
1.0000,0.0000,8.0000,93.6700,120.1530,304.9069,78.3707,0.4000
1.0000,0.0000,8.0000,93.8300,126.3150,320.9456,37.7920,0.4000
1.0000,0.0000,8.0000,93.7800,132.4403,336.9844,133.9786,0.2500
1.0000,0.0000,5.0000,93.9900,138.7258,353.0231,69.5010,0.4000
1.0000,0.0000,8.0000,94.2500,145.2209,369.0619,72.8788,0.3000
1.0000,0.0000,6.0000,94.4200,151.5894,385.1006,129.2816,0.2500
1.0000,0.0000,5.0000,94.5600,158.1120,401.1394,22.5126,0.4000
1.0000,0.0000,8.0000,94.7000,164.5479,417.1781,57.6130,0.2500
1.0000,0.0000,5.0000,94.7600,170.7911,433.2169,105.7811,0.2000
1.0000,0.0000,4.0000,94.7100,177.1600,449.2556,43.6114,0.4000
1.0000,0.0000,8.0000,95.0200,183.5485,465.2944,102.8149,0.3500
1.0000,0.0000,7.0000,95.0300,190.0776,481.3331,27.7846,0.4000
