0,1,2,3,4,5,6,7,8,9
2.2880,2.2891,2.2894,2.2898,2.2933,2.2919,2.2940,2.2914,2.2908,2.2965
2.1675,2.1624,2.1685,2.1641,2.1712,2.1688,2.1705,2.1683,2.1605,2.1710
1.8416,1.8484,1.8544,1.8419,1.8474,1.8649,1.8511,1.8610,1.8501,1.8569
1.4497,1.4656,1.4489,1.4561,1.4685,1.4930,1.4653,1.5012,1.4733,1.4650
1.1579,1.1900,1.1628,1.1652,1.1947,1.1590,1.1568,1.1643,1.1600,1.1655
0.9961,0.9758,0.9900,0.9848,0.9781,0.9842,0.9612,0.9860,0.9849,0.9755
0.8413,0.8402,0.8622,0.8516,0.8963,0.8545,0.8530,0.8485,0.8601,0.8768
0.7782,0.7773,0.7972,0.7825,0.7870,0.7780,0.7779,0.7751,0.8058,0.7920
0.7420,0.7112,0.7356,0.7166,0.7183,0.7278,0.6947,0.7153,0.7644,0.7222
0.6714,0.6656,0.7267,0.6720,0.6779,0.6999,0.6730,0.6891,0.6862,0.6860
0.6333,0.6197,0.6669,0.6483,0.6466,0.6491,0.6162,0.6481,0.6445,0.6298
0.5994,0.5740,0.6209,0.6304,0.5983,0.6307,0.6021,0.6051,0.6344,0.6106
0.5875,0.5720,0.6165,0.5972,0.5926,0.5800,0.5874,0.5832,0.6098,0.6011
0.5416,0.5554,0.5800,0.5444,0.5409,0.5363,0.5559,0.5860,0.5743,0.5701
0.5209,0.5584,0.5459,0.5303,0.5545,0.5381,0.5350,0.5345,0.5421,0.5589
0.4984,0.5247,0.5330,0.4973,0.5326,0.5090,0.4896,0.5518,0.5385,0.5407
0.5051,0.5017,0.5296,0.4886,0.5032,0.5000,0.5079,0.5131,0.5302,0.5077
0.4835,0.4848,0.4874,0.4627,0.4802,0.4764,0.4811,0.5003,0.4891,0.4952
0.4685,0.4685,0.4977,0.4673,0.4678,0.4901,0.4397,0.4539,0.4809,0.4764
0.4813,0.4459,0.4775,0.4472,0.4782,0.4692,0.4667,0.4648,0.4865,0.4858
0.4458,0.4673,0.4837,0.4374,0.4372,0.4366,0.4624,0.4511,0.4542,0.4346
0.4458,0.4442,0.4618,0.4453,0.4304,0.4558,0.4170,0.4356,0.4736,0.4357
0.4269,0.4178,0.4541,0.4362,0.4296,0.4452,0.3970,0.4432,0.4432,0.4225
0.4303,0.4243,0.4315,0.4010,0.4490,0.4285,0.3958,0.4312,0.4180,0.4246
0.4084,0.4048,0.4135,0.4124,0.4155,0.4091,0.4035,0.3979,0.4297,0.4158
0.4124,0.3914,0.4240,0.4300,0.4191,0.3982,0.3977,0.4083,0.3903,0.3912
0.3787,0.3722,0.4036,0.3918,0.4030,0.3681,0.3828,0.3961,0.4075,0.3902
0.3944,0.3709,0.4158,0.3891,0.3896,0.3747,0.3854,0.3980,0.3926,0.3881
0.3961,0.3697,0.3889,0.3865,0.3819,0.3981,0.3885,0.3890,0.3892,0.3857
0.3591,0.3775,0.3733,0.3759,0.3750,0.3411,0.3710,0.3724,0.3624,0.3745
