epsilon,down_link,up_link,test_acc,energy,time,goodput,packet_loss
10,0.0000,0.0000,28.8300,0.6763,950,233.3094,0.0000
10,0.0000,0.0000,53.1200,1.3622,1900,97.9483,0.0000
10,0.0000,0.0000,71.7800,2.0405,2850,173.7478,0.0000
10,0.0000,0.0000,81.8000,2.7040,3800,116.7570,0.0000
10,0.0000,0.0000,85.2100,3.3706,4750,199.3159,0.0000
10,0.0000,0.0000,87.1900,4.0546,5700,97.7991,0.0000
10,0.0000,0.0000,88.4400,4.7178,6650,156.8949,0.0000
10,0.0000,0.0000,89.5200,5.3804,7600,52.7347,0.0000
10,0.0000,0.0000,90.0700,6.0422,8550,102.8741,0.0000
10,0.0000,0.0000,90.9300,6.7268,9500,89.2616,0.0000
10,0.0000,0.0000,91.3500,7.4010,10450,36.4398,0.0000
10,0.0000,0.0000,92.0600,8.0942,11400,140.1797,0.0000
10,0.0000,0.0000,92.3600,8.7788,12350,99.8437,0.0000
10,0.0000,0.0000,92.3500,9.4910,13300,94.3931,0.0000
10,0.0000,0.0000,92.8400,10.1513,14250,98.7451,0.0000
10,0.0000,0.0000,93.2100,10.8490,15200,92.8781,0.0000
10,0.0000,0.0000,93.3100,11.5142,16150,115.7011,0.0000
10,0.0000,0.0000,93.5300,12.2012,17100,64.2205,0.0000
10,0.0000,0.0000,93.6200,12.8641,18050,39.3439,0.0000
10,0.0000,0.0000,93.9000,13.5491,19000,128.0147,0.0000
10,0.0000,0.0000,94.0500,14.2119,19950,103.7423,0.0000
10,0.0000,0.0000,94.3000,14.8790,20900,163.9780,0.0000
10,0.0000,0.0000,94.3000,15.5541,21850,162.8696,0.0000
10,0.0000,0.0000,94.5300,16.2425,22800,177.6353,0.0000
10,0.0000,0.0000,94.5600,16.9396,23750,89.9236,0.0000
10,0.0000,0.0000,94.7800,17.6118,24700,58.9739,0.0000
10,0.0000,0.0000,94.9200,18.2855,25650,112.9611,0.0000
10,0.0000,0.0000,95.0000,18.9872,26600,296.2234,0.0000
10,0.0000,0.0000,94.9800,19.6551,27550,80.7013,0.0000
10,0.0000,0.0000,95.2300,20.3294,28500,115.5868,0.0000
