0,1,2,3,4,5,6,7,8,9
2.2904,2.2887,2.2932,2.2849,2.2870,2.2852,2.2876,2.2814,2.2872,2.2874
2.1487,2.1515,2.1452,2.1295,2.1486,2.1340,2.1469,2.1276,2.1370,2.1336
1.7855,1.7713,1.7576,1.7607,1.7894,1.7503,1.7858,1.7387,1.7714,1.7555
1.3792,1.3417,1.3500,1.3568,1.3549,1.3530,1.3868,1.3704,1.3656,1.3503
1.0883,1.0857,1.0494,1.0714,1.0944,1.0605,1.0914,1.0960,1.0875,1.1122
0.8970,0.9209,0.9157,0.8939,0.9446,0.8945,0.9399,0.9429,0.9223,0.9072
0.7877,0.8252,0.8302,0.8183,0.8158,0.8047,0.8063,0.8482,0.8093,0.8257
0.7381,0.7109,0.7305,0.7421,0.7678,0.7210,0.7689,0.7591,0.7483,0.7564
0.6953,0.7002,0.6536,0.6727,0.6922,0.6614,0.6853,0.6822,0.7122,0.6941
0.6456,0.6268,0.6247,0.6511,0.6327,0.6391,0.6424,0.6482,0.6505,0.6558
0.5940,0.6074,0.6323,0.6317,0.5997,0.5779,0.6115,0.6429,0.6301,0.6355
0.5720,0.5781,0.5477,0.5940,0.5920,0.5573,0.5755,0.6063,0.6043,0.6186
0.5485,0.5243,0.5589,0.5436,0.5631,0.5454,0.5488,0.5621,0.5771,0.5564
0.5236,0.5265,0.5317,0.5238,0.5146,0.4925,0.5406,0.5435,0.5464,0.5234
0.5054,0.4899,0.5173,0.5086,0.4931,0.5021,0.5167,0.5527,0.4957,0.5119
0.4780,0.4741,0.4628,0.4974,0.4899,0.4604,0.4752,0.5167,0.4877,0.4900
0.4681,0.4696,0.4432,0.4535,0.4713,0.4372,0.4805,0.4867,0.4766,0.4591
0.4489,0.4551,0.4559,0.4671,0.4451,0.4581,0.4984,0.4855,0.4793,0.4601
0.4380,0.4472,0.4482,0.4463,0.4352,0.4106,0.4467,0.4385,0.4657,0.4467
0.4376,0.4270,0.4253,0.4595,0.4289,0.4187,0.4530,0.4499,0.4595,0.4472
0.4173,0.4046,0.4430,0.4024,0.4456,0.4325,0.4161,0.4314,0.4144,0.4143
0.3956,0.4257,0.3956,0.3978,0.4139,0.3863,0.4039,0.4185,0.4046,0.4214
0.4018,0.3996,0.4016,0.3914,0.4082,0.3614,0.4069,0.4257,0.3839,0.4060
0.3760,0.3824,0.4095,0.3897,0.3743,0.3657,0.3716,0.3897,0.3942,0.3836
0.3630,0.3566,0.3850,0.3720,0.3888,0.3306,0.3828,0.3825,0.3750,0.3830
0.3606,0.3502,0.3689,0.3742,0.3667,0.3422,0.3573,0.4021,0.3591,0.3705
0.3543,0.3597,0.3401,0.3689,0.3660,0.3367,0.3790,0.3664,0.3830,0.3540
0.3661,0.3516,0.3798,0.3690,0.3595,0.3468,0.3479,0.3708,0.3522,0.3601
0.3450,0.3397,0.3578,0.3348,0.3403,0.3379,0.3537,0.3571,0.3702,0.3538
0.3353,0.3444,0.3460,0.3577,0.3586,0.3255,0.3458,0.3602,0.3420,0.3415
