epsilon,down_link,up_link,test_acc,energy,time,goodput,packet_loss
10,0.0000,0.0000,90.8700,1.1927,8097.2630,3.2073,0.0000
10,0.0000,0.0000,94.7200,2.4308,16371.7299,0.0000,0.0000
10,0.0000,0.0000,95.6900,3.6830,24820.8556,0.0000,0.0000
10,0.0000,0.0000,96.3300,4.8775,33053.8523,108.4086,0.0000
10,0.0000,0.0000,96.6300,6.1429,41562.1244,0.6521,0.0000
10,0.0000,0.0000,97.2300,7.3816,50021.6094,518.6300,0.0000
10,0.0000,0.0000,97.3900,8.6213,58313.5857,0.0000,0.0000
10,0.0000,0.0000,97.6600,9.8419,66520.8580,189.4732,0.0000
10,0.0000,0.0000,97.8000,11.1252,75141.0053,229.2303,0.0000
10,0.0000,0.0000,97.5900,12.3670,83655.8890,0.3337,0.0000
10,0.0000,0.0000,98.0300,13.6031,92063.9396,0.0000,0.0000
10,0.0000,0.0000,98.0500,14.8657,100593.9253,0.0000,0.0000
10,0.0000,0.0000,98.0500,16.0934,108854.6776,0.0000,0.0000
10,0.0000,0.0000,98.0800,17.3247,117206.4228,0.0000,0.0000
10,0.0000,0.0000,98.3800,18.5505,125492.4273,0.0000,0.0000
10,0.0000,0.0000,98.2500,19.7928,133766.8864,0.1193,0.0000
10,0.0000,0.0000,98.3200,21.0066,141837.5723,0.0134,0.0000
10,0.0000,0.0000,98.4800,22.2352,150075.1744,0.0000,0.0000
10,0.0000,0.0000,98.5700,23.4308,158319.2135,0.0000,0.0000
10,0.0000,0.0000,98.6300,24.6624,166730.0367,379.7596,0.0000
10,0.0000,0.0000,98.4400,25.8855,175033.8422,0.0000,0.0000
10,0.0000,0.0000,98.5400,27.0699,183113.0107,355.2793,0.0000
10,0.0000,0.0000,98.5700,28.3208,191491.6959,0.0000,0.0000
10,0.0000,0.0000,98.7200,29.5715,199928.9075,0.0000,0.0000
10,0.0000,0.0000,98.5600,30.8218,208388.4727,0.0000,0.0000
10,0.0000,0.0000,98.7500,32.0646,216787.2831,0.7594,0.0000
10,0.0000,0.0000,98.8700,33.2886,225038.3145,242.7576,0.0000
10,0.0000,0.0000,98.5600,34.5533,233375.7634,0.0000,0.0000
10,0.0000,0.0000,98.7600,35.8079,241881.5717,287.8767,0.0000
10,0.0000,0.0000,98.7400,37.0294,250104.5784,0.0000,0.0000
