epsilon,down_link,up_link,test_mse,test_mae,energy,time,goodput,packet_loss
0.1000,0.0000,0.0000,0.8598,0.7655,0,0,0,0
0.1000,0.0000,0.0000,0.7995,0.7375,0,0,0,0
0.1000,0.0000,0.0000,0.6613,0.6688,0,0,0,0
0.1000,0.0000,0.0000,0.3801,0.5004,0,0,0,0
0.1000,0.0000,0.0000,0.2498,0.3954,0,0,0,0
0.1000,0.0000,0.0000,0.2206,0.3612,0,0,0,0
0.1000,0.0000,0.0000,0.2521,0.3969,0,0,0,0
0.1000,0.0000,0.0000,0.2144,0.3558,0,0,0,0
0.1000,0.0000,0.0000,0.2243,0.3682,0,0,0,0
0.1000,0.0000,0.0000,0.2135,0.3567,0,0,0,0
0.1000,0.0000,0.0000,0.2317,0.3785,0,0,0,0
0.1000,0.0000,0.0000,0.2121,0.3564,0,0,0,0
0.1000,0.0000,0.0000,0.2009,0.3426,0,0,0,0
0.1000,0.0000,0.0000,0.1997,0.3433,0,0,0,0
0.1000,0.0000,0.0000,0.2056,0.3514,0,0,0,0
0.1000,0.0000,0.0000,0.1999,0.3458,0,0,0,0
0.1000,0.0000,0.0000,0.2028,0.3502,0,0,0,0
0.1000,0.0000,0.0000,0.1917,0.3361,0,0,0,0
0.1000,0.0000,0.0000,0.1973,0.3442,0,0,0,0
0.1000,0.0000,0.0000,0.1968,0.3452,0,0,0,0
0.1000,0.0000,0.0000,0.2075,0.3596,0,0,0,0
0.1000,0.0000,0.0000,0.1853,0.3315,0,0,0,0
0.1000,0.0000,0.0000,0.2040,0.3567,0,0,0,0
0.1000,0.0000,0.0000,0.1778,0.3249,0,0,0,0
0.1000,0.0000,0.0000,0.1895,0.3425,0,0,0,0
0.1000,0.0000,0.0000,0.1744,0.3228,0,0,0,0
0.1000,0.0000,0.0000,0.1679,0.3155,0,0,0,0
0.1000,0.0000,0.0000,0.1679,0.3170,0,0,0,0
0.1000,0.0000,0.0000,0.1712,0.3224,0,0,0,0
0.1000,0.0000,0.0000,0.1798,0.3356,0,0,0,0
0.1000,0.0000,0.0000,0.1604,0.3113,0,0,0,0
0.1000,0.0000,0.0000,0.1495,0.2985,0,0,0,0
0.1000,0.0000,0.0000,0.1587,0.3135,0,0,0,0
0.1000,0.0000,0.0000,0.1655,0.3175,0,0,0,0
0.1000,0.0000,0.0000,0.2033,0.3632,0,0,0,0
0.1000,0.0000,0.0000,0.4569,0.5695,0,0,0,0
0.1000,0.0000,0.0000,0.1489,0.2999,0,0,0,0
0.1000,0.0000,0.0000,0.3221,0.4848,0,0,0,0
0.1000,0.0000,0.0000,0.1600,0.3188,0,0,0,0
0.1000,0.0000,0.0000,0.2597,0.4227,0,0,0,0
0.1000,0.0000,0.0000,0.1386,0.2863,0,0,0,0
0.1000,0.0000,0.0000,0.1321,0.2836,0,0,0,0
0.1000,0.0000,0.0000,0.1267,0.2732,0,0,0,0
0.1000,0.0000,0.0000,0.2689,0.4301,0,0,0,0
0.1000,0.0000,0.0000,0.1410,0.2972,0,0,0,0
0.1000,0.0000,0.0000,0.2887,0.4549,0,0,0,0
0.1000,0.0000,0.0000,0.1547,0.3119,0,0,0,0
0.1000,0.0000,0.0000,0.1293,0.2737,0,0,0,0
0.1000,0.0000,0.0000,0.1608,0.3195,0,0,0,0
0.1000,0.0000,0.0000,0.4326,0.5671,0,0,0,0
