0,1,2,3,4,5,6,7,8,9
1.0304,1.0324,0.9948,0.9625,1.0703,1.3157,1.0263,1.0260,1.0170,0.9942
0.9887,0.9848,0.9186,0.9566,0.9692,0.7827,0.8434,0.8948,0.9515,0.9387
0.8777,0.8513,0.8744,0.7868,0.8812,0.6693,0.8928,0.8489,0.8226,0.8643
0.6715,0.6437,0.7106,0.5848,0.7447,1.0209,0.8805,0.7091,0.6450,0.6731
0.4748,0.4819,0.6123,0.3612,0.5282,0.4781,0.8450,0.4324,0.3828,0.4837
0.3990,0.4351,0.6695,0.2726,0.5002,0.4851,0.7341,0.3888,0.3368,0.4316
0.4245,0.4057,0.6230,0.2383,0.5590,0.2943,0.7830,0.3708,0.3578,0.4089
0.4427,0.4205,0.6558,0.2672,0.4850,0.3238,0.7211,0.3803,0.3565,0.4331
0.4166,0.4162,0.5958,0.2644,0.4808,0.3410,0.7188,0.3772,0.3448,0.3811
0.3753,0.4076,0.6609,0.2594,0.5365,0.4397,0.7341,0.3828,0.3300,0.3968
0.4220,0.4261,0.6053,0.2337,0.4929,0.5218,0.6895,0.3543,0.3324,0.3910
0.4007,0.3869,0.5966,0.2466,0.5815,0.5335,0.6985,0.3779,0.3761,0.3767
0.3560,0.3742,0.5965,0.2247,0.5630,0.6252,0.7299,0.3688,0.3587,0.3943
0.3993,0.3898,0.5798,0.2150,0.5400,0.4188,0.6715,0.3546,0.3227,0.3622
0.3937,0.3815,0.5783,0.2459,0.4537,0.3252,0.6503,0.3473,0.3411,0.3578
0.3643,0.3713,0.6089,0.2354,0.5143,0.2610,0.6453,0.3463,0.3091,0.3602
0.3393,0.3749,0.5478,0.2479,0.5229,0.5457,0.7078,0.3215,0.2916,0.3737
0.3533,0.3668,0.5458,0.2053,0.5398,0.4030,0.7005,0.3367,0.2877,0.3713
0.3584,0.3705,0.5117,0.2585,0.5025,0.4141,0.6053,0.3209,0.2933,0.3565
0.3709,0.3581,0.5231,0.2141,0.4378,0.4233,0.6402,0.3205,0.2833,0.3713
0.3796,0.3656,0.5020,0.2082,0.4875,0.3262,0.6910,0.3281,0.2840,0.3408
0.3446,0.3473,0.6147,0.1976,0.5115,0.3972,0.6487,0.3084,0.2795,0.3396
0.3555,0.3779,0.5453,0.2132,0.4440,0.2679,0.6227,0.3300,0.3040,0.3401
0.3335,0.3412,0.4710,0.2193,0.4665,0.3621,0.6382,0.2924,0.2700,0.3380
0.3339,0.3377,0.6085,0.1981,0.4429,0.3871,0.6160,0.3056,0.2721,0.3279
0.3274,0.3551,0.5437,0.2141,0.4761,0.2552,0.6767,0.2912,0.2721,0.3214
0.3113,0.3416,0.4995,0.2040,0.4064,0.2843,0.6060,0.2842,0.2669,0.3255
0.3039,0.3368,0.4621,0.2043,0.4794,0.2263,0.5172,0.3022,0.2703,0.2992
0.3340,0.3093,0.4243,0.1917,0.4655,0.2159,0.5973,0.2755,0.2531,0.3124
0.3033,0.3236,0.4376,0.1654,0.4472,0.2784,0.5830,0.2571,0.2218,0.2763
0.3074,0.2907,0.4931,0.1715,0.4850,0.2519,0.5696,0.2667,0.2298,0.3058
0.2934,0.2829,0.5135,0.1776,0.4324,0.5096,0.5690,0.2484,0.2174,0.2635
0.2699,0.3093,0.4882,0.1766,0.4479,0.3818,0.4801,0.2438,0.1956,0.2619
0.2815,0.2864,0.4371,0.1523,0.3770,0.2763,0.4906,0.2384,0.2165,0.2709
0.2834,0.2825,0.4780,0.1625,0.4367,0.6068,0.5778,0.2527,0.2078,0.2668
0.3188,0.3451,0.5429,0.2008,0.3948,0.2668,0.5006,0.2699,0.2349,0.3068
0.3491,0.3171,0.5326,0.2291,0.4128,0.4100,0.6086,0.2806,0.2207,0.2935
0.3019,0.2808,0.4860,0.1825,0.4292,0.3404,0.5563,0.2345,0.1994,0.2364
0.2847,0.3004,0.5146,0.1886,0.4120,0.2506,0.4526,0.2356,0.2001,0.2721
0.2863,0.2838,0.4360,0.1989,0.4243,0.2823,0.5002,0.2576,0.2115,0.2522
0.2953,0.3137,0.4841,0.1929,0.5381,0.5572,0.4507,0.2432,0.2190,0.2585
0.2599,0.2703,0.4950,0.1550,0.4545,0.3668,0.4515,0.2171,0.1760,0.2345
0.2793,0.2623,0.4082,0.1702,0.4269,0.2598,0.4468,0.2126,0.1586,0.2128
0.2922,0.3140,0.4842,0.1973,0.4386,0.3865,0.4852,0.2432,0.2132,0.2734
0.2382,0.2387,0.4795,0.1345,0.3849,0.2990,0.4668,0.1964,0.1530,0.2073
0.3039,0.2898,0.4983,0.2043,0.4346,0.3891,0.5515,0.2349,0.2153,0.2718
0.2229,0.2769,0.4506,0.1447,0.3937,0.3489,0.4499,0.2063,0.1844,0.2241
0.2411,0.2747,0.4571,0.1659,0.4174,0.4307,0.3902,0.2218,0.1831,0.2297
0.2301,0.2429,0.4260,0.1223,0.4066,0.4419,0.4338,0.1836,0.1536,0.2185
0.2486,0.2782,0.4772,0.1531,0.3830,0.3855,0.4848,0.1988,0.1654,0.2341
