epsilon,down_link,up_link,test_mse,test_mae,energy,time,goodput,packet_loss
0.1000,0.0000,8.0000,0.7866,0.7314,0.1367,0.7890,52.7408,0.3500
0.1000,0.0000,7.0000,0.7845,0.7303,0.2853,1.5386,61.4521,0.4000
0.1000,0.0000,8.0000,0.7802,0.7282,0.4266,2.2881,55.4129,0.4000
0.1000,0.0000,8.0000,0.7727,0.7246,0.5486,3.0377,93.7802,0.3500
0.1000,0.0000,7.0000,0.7629,0.7199,0.6887,3.7873,139.8483,0.2500
0.1000,0.0000,5.0000,0.7505,0.7139,0.8252,4.5368,74.9847,0.3500
0.1000,0.0000,7.0000,0.7304,0.7040,0.9679,5.2864,72.4888,0.3500
0.1000,0.0000,7.0000,0.7046,0.6913,1.1183,6.0360,58.3204,0.3500
0.1000,0.0000,7.0000,0.6694,0.6735,1.2590,6.7855,109.1907,0.2500
0.1000,0.0000,5.0000,0.6278,0.6518,1.3974,7.5351,81.8351,0.3500
0.1000,0.0000,7.0000,0.5740,0.6224,1.5295,8.2847,45.0074,0.4500
0.1000,0.0000,9.0000,0.5075,0.5838,1.6688,9.0342,71.2199,0.4000
0.1000,0.0000,8.0000,0.4363,0.5396,1.8012,9.7838,81.2009,0.3500
0.1000,0.0000,7.0000,0.3603,0.4888,1.9444,10.5334,52.9278,0.4000
0.1000,0.0000,8.0000,0.2874,0.4345,2.0896,11.2829,86.1737,0.3500
0.1000,0.0000,7.0000,0.2378,0.3926,2.2301,12.0325,150.9448,0.2000
0.1000,0.0000,4.0000,0.2082,0.3639,2.3606,12.7821,90.0550,0.3000
0.1000,0.0000,6.0000,0.1908,0.3438,2.4882,13.5316,92.7688,0.2500
0.1000,0.0000,5.0000,0.1818,0.3317,2.6219,14.2812,105.0376,0.3000
0.1000,0.0000,6.0000,0.1786,0.3274,2.7635,15.0307,92.1187,0.3500
0.1000,0.0000,7.0000,0.1785,0.3274,2.8932,15.7803,45.0620,0.4000
0.1000,0.0000,8.0000,0.1748,0.3224,3.0361,16.5299,34.9729,0.3500
0.1000,0.0000,7.0000,0.1746,0.3225,3.1737,17.2794,29.4779,0.4000
0.1000,0.0000,8.0000,0.1742,0.3227,3.3150,18.0290,35.3774,0.4000
0.1000,0.0000,8.0000,0.1733,0.3217,3.4542,18.7786,41.9398,0.4000
0.1000,0.0000,8.0000,0.1740,0.3229,3.5935,19.5281,141.8657,0.2500
0.1000,0.0000,5.0000,0.1725,0.3209,3.7369,20.2777,128.2314,0.2500
0.1000,0.0000,5.0000,0.1702,0.3181,3.8682,21.0273,186.5192,0.2500
0.1000,0.0000,5.0000,0.1701,0.3184,4.0073,21.7768,56.6410,0.3000
0.1000,0.0000,6.0000,0.1699,0.3185,4.1390,22.5264,0.0000,0.5000
0.1000,0.0000,10.0000,0.1704,0.3194,4.2856,23.2760,119.7777,0.2500
0.1000,0.0000,5.0000,0.1692,0.3180,4.4202,24.0255,104.1230,0.3500
0.1000,0.0000,7.0000,0.1666,0.3143,4.5568,24.7751,91.5318,0.3500
0.1000,0.0000,7.0000,0.1664,0.3137,4.7078,25.5247,46.7278,0.3000
0.1000,0.0000,6.0000,0.1662,0.3136,4.8458,26.2742,51.0001,0.3500
0.1000,0.0000,7.0000,0.1671,0.3157,4.9809,27.0238,30.0628,0.4500
0.1000,0.0000,9.0000,0.1654,0.3133,5.1332,27.7734,139.7297,0.2500
0.1000,0.0000,5.0000,0.1639,0.3112,5.2690,28.5229,0.0000,0.5000
0.1000,0.0000,10.0000,0.1646,0.3125,5.4075,29.2725,64.9600,0.4000
0.1000,0.0000,8.0000,0.1629,0.3104,5.5471,30.0220,51.8183,0.4500
0.1000,0.0000,9.0000,0.1628,0.3095,5.6876,30.7716,0.0041,0.5000
0.1000,0.0000,10.0000,0.1621,0.3093,5.8232,31.5212,0.0011,0.5000
0.1000,0.0000,10.0000,0.1640,0.3126,5.9655,32.2707,16.0417,0.4500
0.1000,0.0000,9.0000,0.1615,0.3094,6.1050,33.0203,105.1133,0.3500
0.1000,0.0000,7.0000,0.1614,0.3095,6.2290,33.7699,111.5871,0.3000
0.1000,0.0000,6.0000,0.1633,0.3127,6.3683,34.5194,42.0970,0.4000
0.1000,0.0000,8.0000,0.1619,0.3102,6.5074,35.2690,62.7443,0.3000
0.1000,0.0000,6.0000,0.1590,0.3066,6.6407,36.0186,35.0469,0.4000
0.1000,0.0000,8.0000,0.1577,0.3045,6.7855,36.7681,84.9181,0.4000
0.1000,0.0000,8.0000,0.1604,0.3091,6.9242,37.5177,37.0812,0.4000
