0,1,2,3,4,5,6,7,8,9
1.0397,1.0433,1.0021,0.9734,1.0777,1.3254,1.0347,1.0376,1.0256,1.0071
1.0105,1.0075,0.9345,0.9817,0.9897,0.8031,0.8545,0.9186,0.9778,0.9606
0.9354,0.9045,0.9118,0.8563,0.9313,0.7195,0.9206,0.9069,0.8824,0.9226
0.8145,0.7846,0.8127,0.7582,0.8724,1.1715,0.9484,0.8693,0.8106,0.8278
0.6249,0.6358,0.7147,0.5637,0.6425,0.6267,0.8831,0.5941,0.5550,0.6347
0.4324,0.4747,0.6873,0.3181,0.5187,0.5205,0.7421,0.4278,0.3748,0.4656
0.4374,0.4138,0.6446,0.2395,0.5694,0.3007,0.8143,0.3810,0.3678,0.4183
0.4521,0.4293,0.6659,0.2720,0.4957,0.3296,0.7364,0.3881,0.3625,0.4468
0.4252,0.4219,0.6029,0.2725,0.4886,0.3462,0.7257,0.3874,0.3544,0.3904
0.3824,0.4138,0.6693,0.2647,0.5423,0.4453,0.7442,0.3902,0.3377,0.4037
0.4291,0.4329,0.6138,0.2372,0.5003,0.5257,0.7059,0.3625,0.3380,0.3988
0.4093,0.3966,0.6042,0.2514,0.5883,0.5387,0.7080,0.3861,0.3838,0.3858
0.3623,0.3791,0.6059,0.2307,0.5688,0.6324,0.7448,0.3769,0.3665,0.4006
0.4086,0.3980,0.5927,0.2207,0.5498,0.4211,0.6854,0.3630,0.3303,0.3754
0.4002,0.3845,0.5895,0.2528,0.4593,0.3333,0.6591,0.3538,0.3493,0.3656
0.3725,0.3759,0.6151,0.2384,0.5220,0.2638,0.6586,0.3526,0.3153,0.3670
0.3480,0.3811,0.5540,0.2538,0.5315,0.5502,0.7184,0.3292,0.2992,0.3840
0.3600,0.3740,0.5556,0.2081,0.5446,0.4058,0.7138,0.3419,0.2949,0.3798
0.3664,0.3779,0.5216,0.2628,0.5078,0.4170,0.6199,0.3280,0.3010,0.3675
0.3823,0.3666,0.5284,0.2237,0.4441,0.4276,0.6444,0.3300,0.2918,0.3800
0.3924,0.3744,0.5137,0.2129,0.4952,0.3333,0.7097,0.3380,0.2906,0.3517
0.3524,0.3576,0.6237,0.2020,0.5177,0.4030,0.6671,0.3161,0.2882,0.3484
0.3652,0.3869,0.5560,0.2163,0.4516,0.2716,0.6428,0.3389,0.3130,0.3495
0.3432,0.3479,0.4804,0.2294,0.4749,0.3706,0.6531,0.3029,0.2810,0.3473
0.3460,0.3495,0.6273,0.2104,0.4586,0.3996,0.6373,0.3208,0.2856,0.3420
0.3411,0.3701,0.5601,0.2237,0.4885,0.2633,0.7056,0.3036,0.2869,0.3347
0.3230,0.3549,0.5107,0.2148,0.4222,0.2948,0.6286,0.2999,0.2813,0.3408
0.3228,0.3537,0.4764,0.2136,0.4925,0.2342,0.5451,0.3189,0.2887,0.3173
0.3488,0.3267,0.4370,0.2018,0.4798,0.2259,0.6295,0.2900,0.2712,0.3305
0.3188,0.3423,0.4516,0.1795,0.4600,0.2906,0.6119,0.2735,0.2406,0.2950
0.3283,0.3078,0.5168,0.1795,0.5018,0.2648,0.6062,0.2869,0.2499,0.3271
0.3228,0.3043,0.5326,0.1986,0.4558,0.5265,0.5960,0.2790,0.2458,0.2902
0.2845,0.3228,0.5068,0.1997,0.4574,0.3976,0.5103,0.2661,0.2182,0.2827
0.3223,0.3214,0.4571,0.1747,0.4043,0.3012,0.5506,0.2680,0.2525,0.3079
0.3186,0.3043,0.4932,0.1794,0.4662,0.6168,0.6236,0.2840,0.2469,0.3018
0.2925,0.3070,0.4994,0.1715,0.3691,0.2316,0.4811,0.2485,0.2223,0.2902
0.3240,0.2965,0.5058,0.2062,0.3916,0.3829,0.6000,0.2640,0.2081,0.2683
0.3109,0.2814,0.4841,0.1858,0.4425,0.3473,0.5734,0.2497,0.2169,0.2473
0.2781,0.2957,0.5132,0.1729,0.3995,0.2298,0.4689,0.2227,0.1977,0.2445
0.2882,0.2771,0.4159,0.1920,0.4120,0.2630,0.4972,0.2563,0.2049,0.2455
0.3039,0.3100,0.4735,0.1822,0.5284,0.5241,0.4916,0.2438,0.2253,0.2583
0.2796,0.2864,0.5203,0.1788,0.4736,0.3822,0.4744,0.2373,0.1992,0.2501
0.3109,0.3009,0.4240,0.1852,0.4428,0.2816,0.4887,0.2380,0.1936,0.2488
0.2801,0.3114,0.4817,0.1805,0.4504,0.3772,0.4756,0.2403,0.2103,0.2784
0.2491,0.2468,0.4937,0.1442,0.3931,0.3146,0.4916,0.2048,0.1621,0.2182
0.2981,0.2979,0.4633,0.1812,0.4353,0.3469,0.5203,0.2292,0.1994,0.2770
0.2549,0.3083,0.4781,0.1861,0.4285,0.3969,0.5034,0.2520,0.2057,0.2517
0.2694,0.3178,0.4908,0.1919,0.4554,0.4687,0.4097,0.2473,0.2109,0.2719
0.2560,0.2674,0.4487,0.1494,0.4267,0.4641,0.4784,0.2072,0.1814,0.2341
0.2395,0.2575,0.4460,0.1430,0.3661,0.3521,0.4738,0.1868,0.1527,0.2172
