0,1,2,3,4,5,6,7,8,9
1.0456,1.0463,1.0126,0.9802,1.0880,1.3440,1.0426,1.0555,1.0267,1.0074
1.0467,1.0367,0.9562,1.0216,1.0099,0.8273,0.8785,0.9411,1.0018,0.9844
1.0065,0.9750,0.9575,0.9256,0.9857,0.7634,0.9568,0.9703,0.9393,0.9828
0.9623,0.9205,0.9148,0.9292,1.0174,1.3249,1.0266,1.0308,0.9750,0.9747
0.9286,0.9404,0.9504,0.9751,0.8980,0.9214,1.0243,0.9295,0.9011,0.9427
0.8985,0.9255,1.0247,0.9162,0.9211,1.0404,0.9320,0.9379,0.9073,0.9288
0.8981,0.9167,0.9188,0.8366,0.9552,0.7386,0.9598,0.8760,0.8529,0.9333
0.8838,0.8641,0.9191,0.8861,0.8202,0.7533,0.8957,0.8659,0.9019,0.8763
0.8412,0.7925,0.8809,0.8223,0.8553,0.7155,0.8680,0.8577,0.8168,0.8450
0.7350,0.7427,0.9177,0.7625,0.7881,0.8215,0.8694,0.7781,0.7032,0.7988
0.7464,0.7695,0.8144,0.6780,0.7594,0.8589,0.7990,0.7156,0.7284,0.7361
0.6472,0.6391,0.7437,0.5885,0.7859,0.8113,0.7750,0.6676,0.6652,0.6502
0.5564,0.5726,0.7148,0.4780,0.7505,0.8135,0.7486,0.5909,0.5630,0.6182
0.4974,0.5164,0.6351,0.3874,0.6036,0.5490,0.6800,0.4867,0.4712,0.4983
0.4441,0.4487,0.6216,0.3212,0.4960,0.3863,0.6209,0.4241,0.4191,0.4288
0.3825,0.4041,0.5946,0.2517,0.5192,0.2825,0.6053,0.3698,0.3274,0.3827
0.3371,0.3683,0.5295,0.2414,0.4900,0.5347,0.6594,0.3182,0.2853,0.3711
0.3400,0.3547,0.5254,0.1850,0.5029,0.3851,0.6616,0.3194,0.2685,0.3546
0.3388,0.3557,0.4943,0.2280,0.4651,0.3883,0.5737,0.3025,0.2710,0.3403
0.3510,0.3404,0.5159,0.1893,0.4111,0.4019,0.6121,0.2986,0.2582,0.3522
0.3623,0.3524,0.4905,0.1842,0.4624,0.3034,0.6682,0.3074,0.2616,0.3247
0.3336,0.3367,0.6047,0.1750,0.4816,0.3827,0.6217,0.2933,0.2616,0.3256
0.3453,0.3680,0.5385,0.1906,0.4281,0.2521,0.6176,0.3178,0.2846,0.3261
0.3279,0.3343,0.4725,0.1975,0.4508,0.3607,0.6386,0.2816,0.2523,0.3313
0.3287,0.3350,0.6080,0.1827,0.4288,0.3813,0.6123,0.2985,0.2660,0.3251
0.3268,0.3554,0.5507,0.2028,0.4639,0.2521,0.6792,0.2904,0.2703,0.3207
0.3159,0.3449,0.5099,0.1949,0.4085,0.2840,0.6219,0.2872,0.2653,0.3316
0.3142,0.3498,0.4702,0.1969,0.4755,0.2340,0.5418,0.3127,0.2791,0.3105
0.3503,0.3230,0.4486,0.1847,0.4693,0.2202,0.6345,0.2867,0.2673,0.3333
0.3246,0.3478,0.4596,0.1701,0.4583,0.2843,0.6300,0.2782,0.2412,0.3007
0.3376,0.3182,0.5246,0.1735,0.5049,0.2664,0.6286,0.2940,0.2567,0.3381
0.3337,0.3124,0.5506,0.1878,0.4385,0.5236,0.6340,0.2813,0.2518,0.3017
0.2990,0.3388,0.5335,0.1938,0.4542,0.3990,0.5479,0.2809,0.2255,0.3002
0.3261,0.3267,0.4693,0.1623,0.3902,0.2892,0.5707,0.2787,0.2626,0.3207
0.3255,0.3031,0.5054,0.1759,0.4629,0.6196,0.6760,0.2991,0.2541,0.3183
0.3225,0.3315,0.5417,0.1677,0.3903,0.2457,0.5522,0.2795,0.2505,0.3289
0.3567,0.3213,0.5406,0.2002,0.3991,0.3899,0.6817,0.2913,0.2413,0.2994
0.3512,0.3106,0.5308,0.1854,0.4477,0.3623,0.6632,0.2825,0.2441,0.2777
0.3218,0.3197,0.5651,0.1779,0.4286,0.2483,0.5606,0.2558,0.2403,0.2953
0.3370,0.3141,0.4596,0.1919,0.4169,0.2732,0.6015,0.2969,0.2459,0.2981
0.3255,0.3155,0.4967,0.1739,0.4973,0.5315,0.5448,0.2682,0.2530,0.2835
0.3287,0.3219,0.5438,0.1846,0.4800,0.3887,0.5962,0.2730,0.2402,0.2926
0.3475,0.3226,0.4660,0.1990,0.4655,0.2846,0.5792,0.2825,0.2248,0.2729
0.3058,0.3312,0.5153,0.1721,0.4298,0.3724,0.5630,0.2660,0.2316,0.3017
0.3146,0.2949,0.5573,0.1714,0.4359,0.3388,0.6136,0.2779,0.2366,0.2752
0.3337,0.3093,0.4733,0.1809,0.4194,0.3491,0.6524,0.2538,0.2379,0.3025
0.2984,0.3383,0.5089,0.1776,0.4264,0.3815,0.5937,0.2784,0.2659,0.3005
0.3126,0.3290,0.5017,0.1844,0.4389,0.4403,0.5033,0.2768,0.2523,0.2955
0.3119,0.3177,0.4911,0.1646,0.4548,0.4702,0.6038,0.2619,0.2437,0.3017
0.3205,0.3058,0.5109,0.1745,0.3798,0.3823,0.6289,0.2611,0.2178,0.2745
