0,1,2,3,4,5,6,7,8,9
1.0306,1.0217,1.0799,1.0179,1.0536,1.0795,1.0226,1.0201,0.9736,1.0034
0.9885,1.0041,0.8930,1.0103,1.0058,0.9710,0.9889,0.9923,1.0164,1.0377
1.0241,1.0002,0.9599,0.9833,0.9612,1.0083,0.9811,1.0141,0.9256,0.9822
1.0621,1.0092,0.9740,1.0116,0.9981,1.0152,0.9856,1.0480,1.0020,0.9839
1.0001,1.0490,0.9255,1.0278,0.9950,0.9692,0.9836,0.9912,0.9897,0.9563
0.9350,1.0563,0.8972,1.0121,0.9209,0.9941,0.8912,0.9581,0.9783,0.9612
0.9653,0.9819,0.8782,1.0296,0.9928,0.9966,0.9683,0.9736,1.0884,0.9999
0.9603,0.9862,1.0206,1.0218,0.9452,0.9683,0.9847,0.9651,0.9719,0.9606
0.9598,0.9892,1.0774,0.9872,0.9667,0.9794,0.9930,0.9993,0.9694,0.9806
0.9750,0.9823,0.9855,0.9273,1.0073,0.9779,0.9227,1.0138,1.0213,0.9733
0.9010,0.9745,0.8841,0.9883,0.9537,0.9477,1.0303,1.0195,0.9635,0.9998
0.9678,0.9900,0.9123,0.9551,0.9547,0.9583,0.9790,0.9125,1.0018,0.9499
0.9941,0.9651,0.9017,0.9224,0.9910,0.9831,0.9479,1.0698,0.8968,0.9889
0.9400,0.8946,0.8298,0.9368,0.9474,0.9906,0.8726,0.9774,0.9388,0.9337
0.9393,0.9604,0.9335,0.9716,0.9197,1.0056,0.9243,0.9558,0.9782,0.9858
0.9345,0.9365,0.9804,0.9641,0.9430,0.9187,1.0451,0.8947,0.9575,0.9258
0.9898,0.9259,1.0606,0.9482,0.9271,0.9676,0.9371,0.9864,1.0080,0.9249
0.9453,0.9341,0.9634,0.8951,0.9118,0.8951,0.9523,0.9169,0.9469,0.9128
0.8871,0.9145,0.9542,0.9129,0.9480,0.9148,0.9149,0.9481,0.9636,0.9482
0.9185,0.9060,0.8673,0.9196,0.9520,0.9228,0.8995,0.9260,0.8923,0.9450
0.8981,0.9020,0.9839,0.8708,0.9045,0.9170,0.8655,0.8909,0.9406,0.8756
