epsilon,down_link,up_link,test_mse,test_mae,energy,time,goodput,packet_loss
1.0000,0.0000,0.0000,0.9572,0.8035,1.1799,1009940000.0000,133.4543,0.0000
1.0000,0.0000,0.0000,0.9154,0.7834,2.2980,1969383000.0000,55.3607,0.0000
1.0000,0.0000,0.0000,0.9003,0.7762,3.4592,2928826000.0000,115.6642,0.0000
1.0000,0.0000,0.0000,0.8891,0.7710,4.7277,3887638002.8291,82.7004,0.0000
1.0000,0.0000,0.0000,0.8801,0.7668,5.9176,4847078794.8549,113.1145,0.0000
1.0000,0.0000,0.0000,0.8741,0.7640,7.0343,5806521794.8549,128.6697,0.0000
1.0000,0.0000,0.0000,0.8605,0.7575,8.1653,6765964794.8549,144.7207,0.0000
1.0000,0.0000,0.0000,0.8645,0.7596,9.2719,7725407794.8549,134.5078,0.0000
1.0000,0.0000,0.0000,0.8545,0.7549,10.3822,8684849719.1510,113.7748,0.0000
1.0000,0.0000,0.0000,0.8514,0.7535,11.5749,9643552120.9344,62.3756,0.0000
1.0000,0.0000,0.0000,0.8481,0.7521,12.7093,10602995120.9344,65.1462,0.0000
1.0000,0.0000,0.0000,0.8330,0.7448,13.8771,11562438120.9344,113.4922,0.0000
1.0000,0.0000,0.0000,0.8359,0.7465,15.0299,12521881120.9344,41.1688,0.0000
1.0000,0.0000,0.0000,0.8335,0.7455,16.3100,13481324092.6258,85.9033,0.0000
1.0000,0.0000,0.0000,0.8206,0.7393,17.5047,14440767092.6258,98.6173,0.0000
1.0000,0.0000,0.0000,0.8146,0.7365,18.6236,15400210092.6258,10.1350,0.0000
1.0000,0.0000,0.0000,0.8126,0.7358,19.7009,16359653092.6258,84.8863,0.0000
1.0000,0.0000,0.0000,0.8025,0.7310,20.8471,17319096092.6258,155.7980,0.0000
1.0000,0.0000,0.0000,0.7937,0.7269,22.0012,18278539064.3172,12.6430,0.0000
1.0000,0.0000,0.0000,0.7769,0.7187,23.1342,19237982064.3172,103.5809,0.0000
1.0000,0.0000,0.0000,0.7697,0.7155,24.2776,20197425064.3172,197.1617,0.0000
1.0000,0.0000,0.0000,0.7550,0.7083,25.4039,21156868064.3172,73.0856,0.0000
1.0000,0.0000,0.0000,0.7450,0.7037,26.6717,22116311064.3172,188.8797,0.0000
1.0000,0.0000,0.0000,0.7315,0.6972,27.8071,23075754064.3172,12.5350,0.0000
1.0000,0.0000,0.0000,0.7085,0.6856,28.9871,24035197064.3172,177.8465,0.0000
1.0000,0.0000,0.0000,0.7004,0.6820,30.0514,24994640064.3172,89.6733,0.0000
1.0000,0.0000,0.0000,0.6762,0.6696,31.1457,25954083064.3172,55.6245,0.0000
1.0000,0.0000,0.0000,0.6558,0.6592,32.3810,26913526064.3172,122.1519,0.0000
1.0000,0.0000,0.0000,0.6304,0.6458,33.5450,27872969064.3172,76.8479,0.0000
1.0000,0.0000,0.0000,0.6081,0.6340,34.7029,28832412064.3172,68.3120,0.0000
1.0000,0.0000,0.0000,0.5826,0.6200,35.8727,29791855064.3172,90.7911,0.0000
1.0000,0.0000,0.0000,0.5581,0.6063,37.1826,30751298064.3172,86.0355,0.0000
1.0000,0.0000,0.0000,0.5294,0.5897,38.3080,31710741064.3172,89.4103,0.0000
1.0000,0.0000,0.0000,0.5000,0.5722,39.3866,32670184064.3172,55.7360,0.0000
1.0000,0.0000,0.0000,0.4730,0.5557,40.4584,33629627064.3172,86.7227,0.0000
1.0000,0.0000,0.0000,0.4427,0.5363,41.6422,34589070064.3172,23.4715,0.0000
1.0000,0.0000,0.0000,0.4172,0.5200,42.9179,35548513064.3172,122.9573,0.0000
1.0000,0.0000,0.0000,0.3918,0.5027,44.1275,36507956064.3172,147.1724,0.0000
1.0000,0.0000,0.0000,0.3693,0.4867,45.2307,37467399064.3172,124.6091,0.0000
1.0000,0.0000,0.0000,0.3443,0.4673,46.4494,38426842064.3172,75.1518,0.0000
1.0000,0.0000,0.0000,0.3276,0.4541,47.5513,39386195033.9185,66.7918,0.0000
1.0000,0.0000,0.0000,0.3147,0.4440,48.7325,40345638033.9185,35.8231,0.0000
1.0000,0.0000,0.0000,0.3015,0.4323,49.8559,41305081033.9185,77.1560,0.0000
1.0000,0.0000,0.0000,0.2954,0.4275,51.0183,42238070192.6233,63.7558,0.0000
1.0000,0.0000,0.0000,0.2861,0.4187,52.0919,43197513079.3891,134.9146,0.0000
1.0000,0.0000,0.0000,0.2802,0.4129,53.2317,44124627814.5253,82.9451,0.0000
1.0000,0.0000,0.0000,0.2739,0.4062,54.4340,45084070814.5253,32.7779,0.0000
1.0000,0.0000,0.0000,0.2683,0.3994,55.6434,46043513814.5253,95.0101,0.0000
1.0000,0.0000,0.0000,0.2670,0.3983,56.8138,47002956814.5253,45.3859,0.0000
1.0000,0.0000,0.0000,0.2628,0.3928,58.0008,47962399786.2167,161.9160,0.0000
1.0000,0.0000,0.0000,0.2621,0.3922,59.1419,48921842786.2167,171.1160,0.0000
1.0000,0.0000,0.0000,0.2613,0.3914,60.3051,49830789491.0803,196.8072,0.0000
1.0000,0.0000,0.0000,0.2605,0.3903,61.3900,50790232491.0803,42.4058,0.0000
1.0000,0.0000,0.0000,0.2604,0.3904,62.6759,51749675491.0803,139.7258,0.0000
1.0000,0.0000,0.0000,0.2584,0.3876,63.8626,52709068801.8128,52.0519,0.0000
1.0000,0.0000,0.0000,0.2577,0.3867,65.0518,53668511575.3450,28.6119,0.0000
1.0000,0.0000,0.0000,0.2579,0.3870,66.1816,54627954575.3450,56.1288,0.0000
1.0000,0.0000,0.0000,0.2572,0.3863,67.2237,55587397575.3450,28.7559,0.0000
1.0000,0.0000,0.0000,0.2555,0.3837,68.4630,56546840575.3450,1.0928,0.0000
1.0000,0.0000,0.0000,0.2568,0.3859,69.6482,57506283575.3450,77.0518,0.0000
1.0000,0.0000,0.0000,0.2555,0.3842,70.7887,58465726462.1109,76.0644,0.0000
1.0000,0.0000,0.0000,0.2534,0.3810,71.9788,59425169462.1109,103.4746,0.0000
1.0000,0.0000,0.0000,0.2546,0.3831,73.2584,60384612462.1109,96.7242,0.0000
1.0000,0.0000,0.0000,0.2537,0.3820,74.4504,61343804598.2082,61.0873,0.0000
1.0000,0.0000,0.0000,0.2532,0.3814,75.5364,62303247598.2082,113.8464,0.0000
1.0000,0.0000,0.0000,0.2540,0.3828,76.6956,63262690598.2082,88.6665,0.0000
1.0000,0.0000,0.0000,0.2535,0.3822,77.9465,64222133598.2082,92.0929,0.0000
1.0000,0.0000,0.0000,0.2543,0.3836,79.0356,65181576598.2082,19.2112,0.0000
1.0000,0.0000,0.0000,0.2528,0.3816,80.1277,66141019598.2082,59.2102,0.0000
1.0000,0.0000,0.0000,0.2536,0.3829,81.3070,67100462598.2082,35.6085,0.0000
1.0000,0.0000,0.0000,0.2516,0.3802,82.4276,68059905598.2082,76.7042,0.0000
1.0000,0.0000,0.0000,0.2526,0.3818,83.5572,69019347720.6569,46.6327,0.0000
1.0000,0.0000,0.0000,0.2518,0.3807,84.7847,69978790720.6569,95.0320,0.0000
1.0000,0.0000,0.0000,0.2527,0.3823,85.9797,70938233720.6569,114.9270,0.0000
1.0000,0.0000,0.0000,0.2517,0.3811,87.1375,71897676720.6569,147.6140,0.0000
1.0000,0.0000,0.0000,0.2498,0.3784,88.2991,72857119409.2642,38.3484,0.0000
1.0000,0.0000,0.0000,0.2502,0.3792,89.4884,73816562409.2642,144.4513,0.0000
1.0000,0.0000,0.0000,0.2499,0.3788,90.7263,74776005409.2642,119.0654,0.0000
1.0000,0.0000,0.0000,0.2493,0.3782,91.9093,75735448409.2642,87.7008,0.0000
1.0000,0.0000,0.0000,0.2505,0.3801,93.1744,76694891409.2642,181.1935,0.0000
1.0000,0.0000,0.0000,0.2505,0.3801,94.2789,77654334409.2642,42.7705,0.0000
1.0000,0.0000,0.0000,0.2515,0.3817,95.4138,78613777409.2642,121.2028,0.0000
1.0000,0.0000,0.0000,0.2497,0.3792,96.4856,79573220409.2642,104.2198,0.0000
1.0000,0.0000,0.0000,0.2492,0.3787,97.6442,80532663409.2642,82.8565,0.0000
1.0000,0.0000,0.0000,0.2491,0.3789,98.9189,81492106409.2642,84.6745,0.0000
1.0000,0.0000,0.0000,0.2490,0.3789,100.0855,82451549409.2642,181.0546,0.0000
1.0000,0.0000,0.0000,0.2470,0.3762,101.1877,83410992409.2642,83.0679,0.0000
1.0000,0.0000,0.0000,0.2495,0.3801,102.4906,84370435409.2642,69.0798,0.0000
1.0000,0.0000,0.0000,0.2475,0.3773,103.6277,85329878409.2642,86.6189,0.0000
1.0000,0.0000,0.0000,0.2504,0.3815,104.7330,86289321409.2642,77.6384,0.0000
1.0000,0.0000,0.0000,0.2475,0.3776,105.8838,87248764409.2642,133.8076,0.0000
1.0000,0.0000,0.0000,0.2482,0.3787,106.9571,88208206446.7901,108.8455,0.0000
1.0000,0.0000,0.0000,0.2483,0.3789,108.0952,89167649446.7901,82.9250,0.0000
1.0000,0.0000,0.0000,0.2471,0.3774,109.1175,90127092418.4815,122.7151,0.0000
1.0000,0.0000,0.0000,0.2459,0.3758,110.3103,91086535418.4815,117.5317,0.0000
1.0000,0.0000,0.0000,0.2467,0.3772,111.3806,92045978418.4815,109.7330,0.0000
1.0000,0.0000,0.0000,0.2458,0.3760,112.5596,92957344593.6635,34.5817,0.0000
1.0000,0.0000,0.0000,0.2456,0.3758,113.7390,93916787593.6635,153.0282,0.0000
1.0000,0.0000,0.0000,0.2459,0.3764,114.8363,94876230593.6635,70.0636,0.0000
1.0000,0.0000,0.0000,0.2455,0.3760,115.9360,95828173763.0732,60.5714,0.0000
