epsilon,down_link,up_link,test_mse,test_mae,energy,time,goodput,packet_loss
1.0000,0.0000,7.0000,0.9042,0.7860,1.2478,7.8902,52.7408,0.3500
1.0000,0.0000,7.0000,0.8419,0.7574,2.6516,15.3858,61.4521,0.4000
1.0000,0.0000,8.0000,0.7453,0.7112,3.9776,22.8815,55.4129,0.3500
1.0000,0.0000,7.0000,0.6097,0.6413,5.1004,30.3771,93.7802,0.3500
1.0000,0.0000,7.0000,0.3362,0.4688,6.3697,37.8727,139.8483,0.2500
1.0000,0.0000,5.0000,0.2309,0.3702,7.6193,45.3684,74.9847,0.3500
1.0000,0.0000,7.0000,0.2356,0.3758,8.9694,52.8640,72.4888,0.3500
1.0000,0.0000,7.0000,0.2221,0.3643,10.4018,60.3597,58.3204,0.3500
1.0000,0.0000,7.0000,0.2237,0.3669,11.7398,67.8553,109.1907,0.2500
1.0000,0.0000,5.0000,0.2288,0.3736,13.0099,75.3510,81.8351,0.3500
1.0000,0.0000,7.0000,0.2106,0.3520,14.2192,82.8466,45.0074,0.4000
1.0000,0.0000,8.0000,0.2147,0.3580,15.5186,90.3423,71.2199,0.3500
1.0000,0.0000,7.0000,0.2041,0.3447,16.7709,97.8379,81.2009,0.3500
1.0000,0.0000,7.0000,0.2035,0.3461,18.1503,105.3336,52.9278,0.3500
1.0000,0.0000,7.0000,0.2048,0.3488,19.5091,112.8292,86.1737,0.3500
1.0000,0.0000,7.0000,0.2082,0.3533,20.8346,120.3249,150.9448,0.1000
1.0000,0.0000,2.0000,0.2012,0.3460,22.0060,127.8205,90.0550,0.3000
1.0000,0.0000,6.0000,0.1972,0.3412,23.1941,135.3162,92.7688,0.2500
1.0000,0.0000,5.0000,0.2007,0.3466,24.4469,142.8118,105.0376,0.3000
1.0000,0.0000,6.0000,0.2140,0.3637,25.8161,150.3075,92.1187,0.3500
1.0000,0.0000,7.0000,0.1892,0.3334,26.9843,157.8031,45.0620,0.4000
1.0000,0.0000,8.0000,0.1869,0.3312,28.3188,165.2988,34.9729,0.3500
1.0000,0.0000,7.0000,0.1919,0.3398,29.5966,172.7944,29.4779,0.3500
1.0000,0.0000,7.0000,0.1936,0.3433,30.9074,180.2901,35.3774,0.4000
1.0000,0.0000,8.0000,0.1800,0.3258,32.2264,187.7857,41.9398,0.3500
1.0000,0.0000,7.0000,0.1867,0.3366,33.4954,195.2814,141.8657,0.2000
1.0000,0.0000,4.0000,0.1799,0.3278,34.7940,202.7770,128.2314,0.2500
1.0000,0.0000,5.0000,0.1738,0.3214,36.0034,210.2727,186.5192,0.2500
1.0000,0.0000,5.0000,0.1890,0.3431,37.2652,217.7683,56.6410,0.3000
1.0000,0.0000,6.0000,0.1710,0.3201,38.5035,225.2640,0.0000,0.5000
1.0000,0.0000,10.0000,0.1816,0.3369,39.8912,232.7596,119.7777,0.2500
1.0000,0.0000,5.0000,0.1592,0.3069,41.1309,240.2553,104.1230,0.3500
1.0000,0.0000,7.0000,0.1680,0.3211,42.4091,247.7509,91.5318,0.3500
1.0000,0.0000,7.0000,0.2205,0.3811,43.8373,255.2466,46.7278,0.3000
1.0000,0.0000,6.0000,0.1564,0.3053,45.0977,262.7422,51.0001,0.3500
1.0000,0.0000,7.0000,0.1655,0.3196,46.3477,270.2379,30.0628,0.4000
1.0000,0.0000,8.0000,0.1570,0.3127,47.7948,277.7335,139.7297,0.2500
1.0000,0.0000,5.0000,0.1453,0.2954,49.0692,285.2291,0.0000,0.5000
1.0000,0.0000,10.0000,0.1622,0.3172,50.3763,292.7248,64.9600,0.4000
1.0000,0.0000,8.0000,0.1458,0.2929,51.6900,300.2204,51.8183,0.3500
1.0000,0.0000,7.0000,0.1912,0.3530,52.9698,307.7161,0.0041,0.5000
1.0000,0.0000,10.0000,0.1375,0.2863,54.2454,315.2117,0.0011,0.5000
1.0000,0.0000,10.0000,0.1857,0.3476,55.5923,322.7074,16.0417,0.4500
1.0000,0.0000,9.0000,0.1408,0.2906,56.9041,330.2030,105.1133,0.3500
1.0000,0.0000,7.0000,0.1287,0.2743,58.0718,337.6987,111.5871,0.3000
1.0000,0.0000,6.0000,0.1281,0.2788,59.3858,345.1943,42.0970,0.3000
1.0000,0.0000,6.0000,0.1474,0.3012,60.6916,352.6900,62.7443,0.3000
1.0000,0.0000,6.0000,0.1462,0.2944,61.8968,360.1856,35.0469,0.4000
1.0000,0.0000,8.0000,0.1207,0.2678,63.2321,367.6813,84.9181,0.4000
1.0000,0.0000,8.0000,0.1242,0.2710,64.5129,375.1769,37.0812,0.4000
