epsilon,down_link,up_link,test_mse,test_mae,energy,time,goodput,packet_loss
1.0000,0.0000,25.0000,0.9785,0.8133,5.0933,7.8902,116.4061,0.3125
1.0000,0.0000,25.0000,0.8939,0.7745,10.5662,15.3858,139.5821,0.2750
1.0000,0.0000,22.0000,0.8210,0.7425,15.7653,22.8815,90.8725,0.3625
1.0000,0.0000,29.0000,0.6090,0.6347,20.8014,30.3771,113.7307,0.2500
1.0000,0.0000,20.0000,0.3320,0.4544,26.2754,37.8727,98.0635,0.3375
1.0000,0.0000,27.0000,0.2621,0.3815,31.3094,45.3684,97.9754,0.3500
1.0000,0.0000,28.0000,0.2634,0.3879,36.6632,52.8640,61.6121,0.3875
1.0000,0.0000,31.0000,0.2694,0.3973,42.0333,60.3597,66.1109,0.3750
1.0000,0.0000,30.0000,0.2608,0.3882,47.4933,67.8553,53.3517,0.3625
1.0000,0.0000,29.0000,0.2511,0.3786,52.7594,75.3510,140.6175,0.2875
1.0000,0.0000,23.0000,0.2475,0.3752,58.0026,82.8466,112.3580,0.2750
1.0000,0.0000,22.0000,0.2560,0.3859,63.0670,90.3423,138.5290,0.2750
1.0000,0.0000,22.0000,0.2529,0.3833,68.2137,97.8379,96.5972,0.3125
1.0000,0.0000,25.0000,0.2457,0.3759,73.4881,105.3336,163.3663,0.2500
1.0000,0.0000,20.0000,0.2465,0.3776,78.4831,112.8292,51.4392,0.3750
1.0000,0.0000,30.0000,0.2466,0.3786,83.8747,120.3249,47.4939,0.3875
1.0000,0.0000,31.0000,0.2366,0.3683,89.2006,127.8205,96.6823,0.3000
1.0000,0.0000,24.0000,0.2344,0.3662,94.2968,135.3162,81.8682,0.3500
1.0000,0.0000,28.0000,0.2360,0.3688,99.6567,142.8118,104.3264,0.3000
1.0000,0.0000,24.0000,0.2384,0.3728,104.9092,150.3075,153.5917,0.2625
1.0000,0.0000,21.0000,0.2344,0.3689,110.3265,157.8031,68.4416,0.3625
1.0000,0.0000,29.0000,0.2271,0.3614,115.4269,165.2988,117.9147,0.3125
1.0000,0.0000,25.0000,0.2233,0.3580,120.6344,172.7944,101.6717,0.3125
1.0000,0.0000,25.0000,0.2222,0.3572,125.8385,180.2901,125.3240,0.2750
1.0000,0.0000,22.0000,0.2235,0.3595,131.1763,187.7857,65.2724,0.3500
1.0000,0.0000,28.0000,0.2168,0.3528,136.3241,195.2814,76.4754,0.3375
1.0000,0.0000,27.0000,0.2106,0.3474,141.4725,202.7770,78.0023,0.2750
1.0000,0.0000,22.0000,0.2282,0.3694,146.6620,210.2727,77.9822,0.3500
1.0000,0.0000,28.0000,0.2095,0.3478,151.8214,217.7683,122.6257,0.2750
1.0000,0.0000,22.0000,0.2050,0.3439,157.0269,225.2640,83.6572,0.3500
1.0000,0.0000,28.0000,0.2010,0.3395,162.4717,232.7596,87.6708,0.3125
1.0000,0.0000,25.0000,0.1980,0.3376,167.7182,240.2553,49.3161,0.3375
1.0000,0.0000,27.0000,0.1948,0.3348,172.9377,247.7509,80.9530,0.2875
1.0000,0.0000,23.0000,0.2094,0.3541,178.1564,255.2466,140.0417,0.3000
1.0000,0.0000,24.0000,0.1834,0.3230,183.3365,262.7422,118.7521,0.3000
1.0000,0.0000,24.0000,0.1796,0.3196,188.6645,270.2379,102.1093,0.3250
1.0000,0.0000,26.0000,0.1877,0.3294,193.7028,277.7335,101.8512,0.2875
1.0000,0.0000,23.0000,0.1733,0.3128,198.9322,285.2291,70.6334,0.3375
1.0000,0.0000,27.0000,0.1721,0.3121,204.1265,292.7248,62.7636,0.3500
1.0000,0.0000,28.0000,0.1718,0.3116,209.4860,300.2204,77.9349,0.3000
1.0000,0.0000,24.0000,0.1707,0.3112,214.5605,307.7161,109.0728,0.3000
