0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.0178,1.0017,1.0131,0.9603,1.0047,0.9535,0.9690,0.9939,0.9651,1.0108,0.9633,1.0177,0.9342,0.9984,0.9556,0.9522,1.0822,0.9924,0.9619,0.9442,1.0479,1.0549,0.9812,0.9816,0.9775,0.9057,1.0044,0.9354,0.9533,0.9594,1.0003,1.0250,0.9722,0.9979,1.0253,0.9193,0.9956,1.0348,0.9813,1.0204
0.9560,0.9693,0.9539,0.9533,0.9600,0.8834,1.0682,0.9335,0.9779,0.9260,0.9893,0.9627,0.9440,0.9968,0.9541,0.9501,0.9582,0.9671,0.9832,1.0138,0.9300,0.9765,1.0118,1.0113,1.1606,1.0282,0.9279,0.9449,0.9967,1.0548,1.0907,0.9972,0.9434,0.9660,0.8949,0.8643,0.9645,0.9724,1.0215,0.9260
0.8854,0.8975,0.9054,0.9158,0.8634,0.8894,0.9230,0.9136,0.8884,0.8974,0.9106,0.9314,0.8831,0.9419,0.9886,0.8713,0.8311,0.9244,0.8956,0.8191,0.9146,0.8987,0.8867,1.0192,1.0615,0.8864,0.9397,0.9581,0.8881,0.9413,0.7863,0.8467,0.9028,0.8830,0.9613,0.9715,0.9659,0.9324,0.9198,0.9418
0.8191,0.8202,0.7971,0.7954,0.7319,0.7755,0.8150,0.7980,0.7551,0.7877,0.8490,0.7950,0.8137,0.8244,0.8903,0.7779,0.7573,0.8385,0.7634,0.7156,0.8758,0.7443,0.7301,0.8505,0.8336,0.7758,0.7955,0.8190,0.7651,0.8697,0.7560,0.8045,0.8081,0.7622,0.7953,0.7290,0.7839,0.7865,0.7985,0.7825
0.5969,0.5636,0.5907,0.5778,0.5187,0.5139,0.6304,0.5366,0.5186,0.5880,0.5248,0.7491,0.5856,0.5836,0.7103,0.4508,0.5127,0.6047,0.5571,0.4065,0.5616,0.4758,0.5041,0.6308,0.9868,0.5508,0.5663,0.7505,0.5821,0.7265,0.5361,0.5465,0.6001,0.5511,0.5922,0.6279,0.5888,0.5958,0.5852,0.6010
0.4685,0.4273,0.5215,0.4542,0.3182,0.3507,0.5050,0.3857,0.3077,0.4047,0.4764,0.6277,0.5001,0.4765,0.6732,0.2559,0.3973,0.5075,0.4367,0.1773,0.4101,0.2561,0.3529,0.5944,0.5719,0.4510,0.3890,0.8400,0.4020,0.7868,0.3518,0.4120,0.4845,0.4447,0.5485,0.4563,0.4162,0.4829,0.4437,0.4756
0.4846,0.4657,0.4298,0.4186,0.2928,0.3562,0.5150,0.3548,0.3211,0.4159,0.4568,0.7266,0.5006,0.4332,0.7075,0.2304,0.3376,0.4849,0.4358,0.1368,0.4697,0.2815,0.3231,0.5007,0.3071,0.4587,0.4010,0.7072,0.3911,0.8037,0.2742,0.3780,0.4283,0.4281,0.5376,0.3728,0.4312,0.5051,0.4026,0.5156
0.4519,0.5155,0.4720,0.4273,0.3031,0.3599,0.5060,0.3817,0.2871,0.4167,0.4189,0.5902,0.4863,0.4455,0.6797,0.2292,0.3235,0.5205,0.4140,0.1598,0.4580,0.2514,0.3082,0.5530,0.3163,0.4591,0.3516,0.7882,0.3679,0.7163,0.3465,0.3847,0.4342,0.3847,0.5618,0.3930,0.4351,0.4729,0.4211,0.4485
0.4317,0.4497,0.4360,0.4508,0.2600,0.3620,0.5246,0.3871,0.2655,0.4190,0.4134,0.6043,0.5020,0.4491,0.7100,0.2356,0.3778,0.4892,0.4374,0.1417,0.3807,0.2607,0.3120,0.5091,0.4524,0.4153,0.3580,0.8429,0.3554,0.7137,0.3676,0.3431,0.4564,0.4356,0.4955,0.4298,0.4272,0.4496,0.3998,0.4610
0.4836,0.4308,0.4614,0.4139,0.2990,0.3714,0.5092,0.3962,0.2660,0.4204,0.4193,0.6000,0.5007,0.4109,0.6281,0.2589,0.3434,0.4875,0.4334,0.1587,0.4092,0.2471,0.2920,0.5094,0.2949,0.4466,0.3936,0.6936,0.3847,0.7215,0.3682,0.3249,0.4319,0.4421,0.5013,0.4568,0.4046,0.4740,0.3710,0.4931
0.4164,0.4215,0.4479,0.3952,0.2837,0.3678,0.4950,0.3724,0.2884,0.4004,0.4283,0.5864,0.4746,0.3947,0.6943,0.2373,0.3935,0.4837,0.4184,0.1259,0.3940,0.2591,0.2747,0.5189,0.2920,0.3942,0.3925,0.6811,0.3600,0.7366,0.2772,0.3256,0.4426,0.3933,0.5660,0.3475,0.3930,0.4672,0.4049,0.5049
0.4351,0.3978,0.4511,0.4058,0.2758,0.3832,0.4940,0.3739,0.2583,0.4241,0.4164,0.6236,0.5001,0.4342,0.6527,0.2130,0.3416,0.4647,0.3801,0.1421,0.3765,0.2475,0.2715,0.4848,0.3089,0.4064,0.3690,0.7285,0.3648,0.6801,0.2658,0.3144,0.4444,0.3794,0.5366,0.4454,0.4256,0.4534,0.3889,0.4659
0.4347,0.4760,0.3988,0.4303,0.2655,0.3228,0.5042,0.3655,0.2688,0.3964,0.4155,0.6146,0.4574,0.4083,0.6650,0.2227,0.3660,0.4708,0.3971,0.1352,0.3672,0.2269,0.2975,0.4940,0.4045,0.4157,0.3865,0.6949,0.3485,0.7423,0.3191,0.3319,0.4098,0.4321,0.4942,0.4494,0.4001,0.4546,0.3900,0.4977
0.4374,0.4200,0.4351,0.3887,0.2780,0.3363,0.4893,0.3689,0.2490,0.4026,0.4043,0.6102,0.4577,0.4120,0.7045,0.2318,0.3439,0.4663,0.3920,0.1328,0.3641,0.2504,0.3373,0.5332,0.2360,0.4061,0.3934,0.7784,0.3563,0.6718,0.2771,0.3332,0.3899,0.4357,0.5040,0.3447,0.4072,0.4165,0.3690,0.4583
0.4487,0.3965,0.4089,0.4035,0.2587,0.3423,0.4465,0.3596,0.2547,0.3804,0.4343,0.5597,0.4523,0.4076,0.7237,0.2212,0.2767,0.4268,0.3979,0.1192,0.3942,0.2286,0.3202,0.4466,0.4141,0.4044,0.3749,0.6901,0.3355,0.7069,0.3310,0.3321,0.3927,0.4045,0.5170,0.4701,0.3549,0.4627,0.4077,0.4955
0.4024,0.4269,0.4423,0.3930,0.2659,0.3459,0.4726,0.3764,0.2288,0.4336,0.3740,0.5587,0.4544,0.4224,0.6819,0.2239,0.3104,0.4532,0.3922,0.1401,0.3879,0.2373,0.3088,0.5347,0.3508,0.4211,0.3107,0.6223,0.3180,0.7270,0.2274,0.3119,0.4228,0.4100,0.4840,0.4079,0.4017,0.4200,0.3985,0.4308
0.3961,0.4299,0.3943,0.3743,0.2689,0.3403,0.4554,0.3330,0.2449,0.3767,0.3890,0.5630,0.4565,0.3943,0.6698,0.2015,0.3039,0.4446,0.3726,0.1427,0.4144,0.2321,0.2973,0.4589,0.3843,0.4155,0.3565,0.7960,0.3525,0.6625,0.2967,0.3013,0.3913,0.4088,0.4899,0.3740,0.3937,0.4229,0.3732,0.4308
0.3987,0.3880,0.4511,0.3704,0.2507,0.3438,0.4766,0.3511,0.2264,0.3759,0.3687,0.5977,0.4485,0.3891,0.7432,0.2057,0.3335,0.4254,0.4047,0.1385,0.3653,0.2241,0.2970,0.5158,0.8681,0.3836,0.3635,0.6409,0.3331,0.7242,0.3296,0.3198,0.4047,0.4190,0.5090,0.4089,0.4054,0.4242,0.3551,0.4395
0.4424,0.4615,0.4377,0.3703,0.2542,0.3171,0.4725,0.3235,0.2500,0.3667,0.4173,0.5559,0.4172,0.4094,0.6569,0.2072,0.3294,0.4296,0.3933,0.1282,0.3886,0.2229,0.3061,0.4885,0.2629,0.3789,0.3721,0.7393,0.3511,0.6290,0.3308,0.3277,0.4029,0.3792,0.5124,0.3594,0.3683,0.3908,0.3511,0.4665
0.3835,0.3887,0.3943,0.4001,0.2286,0.3174,0.4417,0.3235,0.2457,0.3814,0.4215,0.5995,0.4413,0.3648,0.7051,0.2076,0.3054,0.4193,0.3762,0.1189,0.3813,0.2294,0.3156,0.5183,0.5118,0.4080,0.3194,0.7457,0.3239,0.6742,0.2917,0.2892,0.4116,0.4486,0.4735,0.4061,0.3758,0.3967,0.3598,0.4415
0.3706,0.3837,0.3955,0.3630,0.2319,0.3194,0.4478,0.3468,0.2474,0.3921,0.3786,0.5502,0.4289,0.3795,0.6447,0.2058,0.3361,0.4516,0.3717,0.1339,0.3740,0.2295,0.2640,0.5270,0.2933,0.4073,0.3213,0.7223,0.3329,0.7434,0.2739,0.2967,0.3949,0.4177,0.5009,0.3775,0.3560,0.4049,0.3563,0.4199
0.3718,0.4072,0.4364,0.3589,0.2494,0.3057,0.4120,0.3331,0.2407,0.3900,0.4077,0.5505,0.4712,0.3609,0.5739,0.2064,0.3145,0.4179,0.3740,0.1290,0.3295,0.2028,0.2557,0.4511,0.3001,0.3735,0.3373,0.7008,0.3340,0.5646,0.3465,0.3002,0.3778,0.3523,0.4646,0.4401,0.3765,0.4144,0.3623,0.4357
0.3984,0.3924,0.3753,0.3596,0.2427,0.3327,0.4523,0.3150,0.2290,0.3472,0.3785,0.5535,0.4496,0.4012,0.7227,0.2000,0.3326,0.4231,0.3707,0.1403,0.3418,0.1909,0.2865,0.4671,0.3090,0.3826,0.3300,0.6268,0.3237,0.6020,0.2685,0.2961,0.3739,0.3921,0.4632,0.3133,0.3618,0.3814,0.3415,0.4169
0.3631,0.3856,0.3776,0.3636,0.2159,0.3189,0.4137,0.3465,0.2250,0.3472,0.3622,0.5272,0.3976,0.3589,0.7034,0.1871,0.3163,0.4094,0.3548,0.1269,0.3373,0.2096,0.2777,0.4551,0.3700,0.3350,0.3121,0.6980,0.2856,0.6072,0.2643,0.2819,0.3865,0.4043,0.4531,0.3731,0.3565,0.3944,0.3414,0.3666
0.3639,0.3797,0.3851,0.3639,0.2397,0.3023,0.4020,0.3184,0.2395,0.3518,0.3999,0.5230,0.4401,0.3538,0.5971,0.1817,0.3528,0.4160,0.3777,0.1442,0.3238,0.2029,0.2965,0.4480,0.2785,0.3766,0.3003,0.7402,0.3203,0.5498,0.2558,0.2981,0.3545,0.4194,0.4420,0.3697,0.3635,0.3518,0.3126,0.4027
0.3448,0.3736,0.3444,0.3325,0.2407,0.3169,0.3999,0.3180,0.2366,0.3348,0.3444,0.5447,0.4233,0.3583,0.6105,0.1976,0.3784,0.4524,0.3573,0.1316,0.3616,0.1922,0.2719,0.4369,0.4877,0.3759,0.3386,0.6922,0.2957,0.5177,0.2953,0.2871,0.3669,0.3962,0.4332,0.3849,0.3463,0.3978,0.3211,0.3844
0.3615,0.3963,0.3690,0.3300,0.2146,0.2989,0.4326,0.3152,0.2370,0.3682,0.3767,0.4949,0.4020,0.3484,0.7228,0.1959,0.2830,0.3986,0.3628,0.1325,0.3223,0.1929,0.2308,0.4372,0.4830,0.3635,0.3203,0.6383,0.2921,0.5344,0.3064,0.2583,0.3646,0.3639,0.4283,0.3842,0.3466,0.4037,0.3324,0.3545
0.3469,0.3891,0.4067,0.3289,0.2178,0.2801,0.4094,0.2985,0.2264,0.3376,0.3888,0.5039,0.4055,0.3386,0.6502,0.1743,0.3065,0.3877,0.3451,0.1140,0.3315,0.1920,0.2455,0.4700,0.2163,0.3457,0.3126,0.6559,0.2998,0.5151,0.2801,0.2517,0.3445,0.3763,0.4329,0.3538,0.3518,0.3802,0.3201,0.4032
0.3343,0.3838,0.3539,0.3302,0.2189,0.3014,0.3950,0.3095,0.2329,0.3416,0.3839,0.6218,0.3804,0.3264,0.6062,0.1794,0.3028,0.3918,0.3410,0.1136,0.3754,0.2000,0.2594,0.4146,0.4741,0.3653,0.3383,0.6139,0.2992,0.6021,0.2563,0.2695,0.3099,0.4055,0.4328,0.3462,0.3402,0.3693,0.3358,0.4109
0.3774,0.3546,0.3706,0.3347,0.1963,0.3028,0.3835,0.2836,0.2079,0.3432,0.3552,0.5121,0.4270,0.3265,0.6596,0.1703,0.2891,0.4074,0.3256,0.1305,0.3548,0.1963,0.2353,0.5135,0.2338,0.3393,0.3131,0.5929,0.2827,0.5782,0.3335,0.2630,0.3255,0.4097,0.4010,0.3331,0.3422,0.3363,0.3048,0.3833
0.3383,0.3715,0.3176,0.3214,0.2065,0.3015,0.3999,0.2900,0.2158,0.3220,0.3477,0.4687,0.4114,0.3253,0.6852,0.1600,0.2934,0.3706,0.3326,0.1212,0.3091,0.1700,0.2491,0.4322,0.5048,0.3645,0.3121,0.6932,0.2742,0.5365,0.2744,0.2530,0.3479,0.3549,0.4080,0.2819,0.3099,0.3471,0.3026,0.3694
0.3473,0.3327,0.3232,0.3264,0.1936,0.2575,0.3951,0.2870,0.1982,0.3443,0.3571,0.5026,0.3790,0.2979,0.5326,0.1524,0.2843,0.4004,0.3343,0.1088,0.3571,0.1977,0.2348,0.3877,0.3525,0.3387,0.2944,0.5682,0.2808,0.5867,0.2445,0.2231,0.3259,0.3522,0.3989,0.3485,0.3078,0.3414,0.3067,0.3762
0.3034,0.3230,0.3431,0.3033,0.1950,0.2706,0.3496,0.2742,0.1891,0.2935,0.2871,0.4825,0.3859,0.3460,0.5333,0.1568,0.2759,0.4200,0.3168,0.1128,0.3103,0.1952,0.2283,0.3832,0.4870,0.3218,0.2864,0.5341,0.2703,0.5575,0.2466,0.2357,0.3188,0.3606,0.4009,0.2953,0.3044,0.3719,0.2745,0.3814
0.3201,0.3363,0.3509,0.2735,0.1893,0.2369,0.3687,0.2769,0.1831,0.2941,0.3591,0.4977,0.3697,0.3044,0.5958,0.1628,0.3009,0.3860,0.3215,0.1103,0.2914,0.1782,0.2254,0.4313,0.2330,0.3374,0.3089,0.5395,0.2499,0.5069,0.2714,0.2360,0.3420,0.3085,0.4004,0.3459,0.2892,0.3508,0.2710,0.3731
0.3066,0.3452,0.3306,0.2709,0.1790,0.2836,0.3829,0.2691,0.1759,0.3032,0.3124,0.4537,0.3731,0.2862,0.5720,0.1511,0.2939,0.3666,0.3147,0.1074,0.2484,0.1548,0.1997,0.4335,0.4520,0.3100,0.2569,0.5623,0.2502,0.5269,0.2622,0.2246,0.2907,0.3711,0.4049,0.2346,0.2901,0.3336,0.2603,0.3414
0.2908,0.3567,0.3609,0.2700,0.1692,0.2731,0.3742,0.2532,0.1760,0.2737,0.3320,0.5028,0.3862,0.2798,0.6806,0.1519,0.2949,0.3629,0.3088,0.1248,0.2977,0.1620,0.2204,0.3605,0.4545,0.3272,0.2460,0.4947,0.2456,0.4976,0.2803,0.2087,0.2945,0.3769,0.4020,0.2970,0.2911,0.3185,0.2529,0.3388
0.2933,0.3320,0.3344,0.2848,0.1874,0.2677,0.3450,0.2520,0.1957,0.2761,0.3517,0.4505,0.3261,0.3009,0.5541,0.1336,0.3296,0.3454,0.3190,0.1096,0.2946,0.1509,0.2280,0.3919,0.3161,0.2971,0.2491,0.5812,0.2357,0.5094,0.3572,0.2080,0.2954,0.3927,0.4135,0.4037,0.2681,0.3037,0.2657,0.3339
0.2849,0.3243,0.3400,0.2568,0.1713,0.2354,0.3575,0.2408,0.1806,0.2797,0.3141,0.4155,0.3483,0.3035,0.5596,0.1362,0.3207,0.3546,0.2750,0.1327,0.2190,0.1333,0.2046,0.4243,0.2320,0.2917,0.2572,0.5149,0.2162,0.4747,0.3006,0.1959,0.2646,0.3187,0.4093,0.3351,0.2637,0.2797,0.2421,0.3370
0.2777,0.3375,0.3089,0.2578,0.1797,0.2480,0.3385,0.2439,0.1746,0.2762,0.3227,0.4718,0.3646,0.2688,0.7145,0.1231,0.2789,0.3444,0.2941,0.1080,0.2343,0.1432,0.1720,0.3634,0.4385,0.3036,0.2832,0.5140,0.2107,0.5080,0.2545,0.1783,0.2553,0.3181,0.4221,0.3442,0.2561,0.2982,0.2272,0.3277
0.2905,0.2997,0.3439,0.2387,0.1365,0.2319,0.3171,0.2416,0.1622,0.2760,0.2880,0.4492,0.3417,0.2983,0.6427,0.1297,0.3075,0.3312,0.2824,0.1209,0.2359,0.1381,0.2049,0.4235,0.2732,0.3034,0.2358,0.4714,0.2145,0.4869,0.2971,0.2021,0.2668,0.3069,0.3573,0.3017,0.2482,0.2784,0.2449,0.3188
0.3030,0.2962,0.2745,0.2610,0.1352,0.2424,0.3467,0.2263,0.1589,0.2644,0.3206,0.4254,0.3369,0.2581,0.6857,0.1095,0.3274,0.3040,0.2620,0.1067,0.2596,0.1293,0.1707,0.3958,0.2491,0.2946,0.2324,0.4801,0.2074,0.4396,0.2472,0.1781,0.2573,0.3221,0.3904,0.3041,0.2648,0.3011,0.2478,0.3095
